-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  32.5534   Longitude 76.1258 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2350.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,2.15,-6.7,-2.27,-0.1,10.56,8.8,-1.75,3.05,54.5,0.52
2019,1,2,-0.06,-3.56,-1.81,-1.11,5.5,3.55,-1.95,3.85,79.38,1.38
2019,1,3,0.05,-7.63,-3.79,-2.56,11.3,6.14,-5.16,2.81,59.62,0.0
2019,1,4,0.04,-7.24,-3.6,-1.98,12.1,7.4,-4.7,2.99,62.56,2.42
2019,1,5,-1.17,-3.24,-2.21,-2.05,4.53,1.74,-2.79,3.97,88.69,5.88
2019,1,6,-2.24,-5.69,-3.96,-5.18,3.74,0.01,-3.73,3.3,80.75,8.14
2019,1,7,-1.01,-7.44,-4.23,-5.88,9.18,3.98,-5.2,2.93,64.19,0.01
2019,1,8,-0.48,-6.37,-3.42,-4.24,5.51,2.94,-2.56,3.23,67.38,0.0
2019,1,9,-0.24,-6.68,-3.46,-4.68,10.21,5.98,-4.24,3.05,64.56,0.0
2019,1,10,0.19,-8.04,-3.92,-3.28,12.16,7.34,-4.81,2.81,56.62,0.17
2019,1,11,-0.43,-4.13,-2.28,-2.04,6.95,3.87,-3.08,3.72,78.94,0.06
2019,1,12,-0.93,-4.31,-2.62,-2.52,5.12,1.82,-3.3,3.66,80.31,7.61
2019,1,13,-3.57,-7.77,-5.67,-6.84,10.84,1.23,-9.61,2.87,78.69,4.85
2019,1,14,-3.73,-14.56,-9.15,-9.11,16.98,5.47,-11.52,1.83,49.94,0.0
2019,1,15,1.65,-10.56,-4.45,-4.31,12.22,8.13,-4.09,2.5,42.12,0.0
2019,1,16,2.04,-2.94,-0.45,-1.69,6.3,5.7,-0.6,4.09,71.25,0.01
2019,1,17,-0.05,-7.78,-3.92,-4.56,12.06,6.93,-5.13,2.93,62.06,0.0
2019,1,18,-0.2,-9.32,-4.76,-3.13,15.11,8.19,-6.91,2.75,56.69,0.04
2019,1,19,3.05,-0.54,1.26,0.36,6.34,6.44,0.09,4.88,79.38,0.06
2019,1,20,3.4,-0.02,1.69,1.01,5.49,7.1,1.61,5.13,80.75,4.2
2019,1,21,1.4,-0.29,0.56,0.22,3.58,3.24,-0.34,4.94,90.62,23.23
2019,1,22,-1.41,-2.1,-1.75,-2.11,2.95,-0.35,-3.31,4.33,96.75,22.27
2019,1,23,-3.03,-4.96,-4.0,-7.31,5.92,0.38,-5.54,3.54,91.62,2.27
2019,1,24,-3.32,-6.51,-4.92,-7.82,6.61,0.88,-5.74,3.17,83.31,3.21
2019,1,25,-4.19,-7.84,-6.02,-9.14,7.48,-1.0,-8.47,2.81,80.0,4.61
2019,1,26,-5.85,-12.16,-9.0,-11.64,11.57,0.71,-10.86,2.08,68.0,0.18
2019,1,27,-5.34,-11.07,-8.2,-9.56,11.53,0.91,-10.62,2.26,70.62,0.04
2019,1,28,-4.96,-11.67,-8.31,-8.55,14.62,2.76,-11.87,2.14,67.56,0.0
2019,1,29,-2.49,-12.23,-7.36,-6.82,15.83,5.7,-10.13,2.14,54.0,0.0
2019,1,30,0.62,-4.84,-2.11,-1.82,4.67,3.62,-1.05,3.6,69.0,4.8
2019,1,31,-0.8,-1.98,-1.38,-1.93,5.9,2.17,-3.73,4.39,94.0,9.75
