-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  31.8862   Longitude 77.1455 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2281.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,2.75,-7.99,-2.63,0.22,11.9,9.8,-2.1,2.81,48.62,0.35
2019,1,2,1.01,-3.77,-1.38,-0.31,7.26,5.04,-2.22,3.78,73.31,1.28
2019,1,3,0.29,-9.09,-4.4,-2.79,12.39,7.05,-5.34,2.56,52.5,0.0
2019,1,4,1.49,-8.35,-3.43,-0.99,14.3,9.07,-5.24,2.75,51.12,1.21
2019,1,5,0.3,-2.72,-1.21,-1.09,4.66,2.92,-1.74,4.09,83.0,5.79
2019,1,6,-1.42,-3.8,-2.6,-4.03,3.87,0.64,-3.23,3.85,87.62,9.6
2019,1,7,-0.38,-6.87,-3.63,-5.13,9.05,4.58,-4.46,3.05,65.12,0.02
2019,1,8,0.8,-7.06,-3.13,-3.31,8.29,6.12,-2.17,3.05,58.94,0.0
2019,1,9,0.55,-6.88,-3.17,-3.78,10.47,6.99,-3.48,3.05,60.69,0.0
2019,1,10,1.44,-9.01,-3.78,-2.81,12.45,8.65,-3.79,2.62,48.31,0.0
2019,1,11,0.46,-4.17,-1.85,-1.48,8.07,5.25,-2.82,3.72,74.94,0.0
2019,1,12,-0.43,-5.38,-2.9,-3.02,6.17,2.9,-3.27,3.42,72.25,4.66
