-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  31.5892   Longitude 76.9182 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1262.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,9.23,-3.27,2.98,5.6,9.2,15.05,5.84,3.54,43.94,0.12
2019,1,2,7.92,1.44,4.68,6.29,8.49,13.23,4.73,4.82,64.88,0.55
2019,1,3,7.41,-1.72,2.85,4.58,11.36,14.4,3.03,3.91,54.44,0.0
2019,1,4,8.32,-2.81,2.75,5.69,12.9,15.93,3.03,3.66,47.62,0.44
2019,1,5,6.94,2.37,4.65,5.71,5.82,10.46,4.64,5.19,73.31,2.95
2019,1,6,3.54,1.4,2.47,2.15,2.84,4.86,2.02,4.82,86.19,6.82
2019,1,7,6.66,-0.05,3.31,3.65,10.41,12.87,2.46,4.39,63.44,0.01
2019,1,8,8.08,-1.08,3.5,4.58,9.13,14.41,5.28,4.15,54.44,0.0
2019,1,9,8.03,-0.72,3.65,5.02,10.62,14.58,3.96,4.15,55.19,0.0
2019,1,10,8.82,-2.65,3.08,5.45,9.78,14.59,4.81,3.72,45.62,0.0
2019,1,11,7.76,1.16,4.46,6.46,9.84,13.54,3.7,4.76,64.94,0.0
2019,1,12,7.05,0.56,3.8,5.06,7.57,11.44,3.87,4.64,64.94,2.24
2019,1,13,5.76,-0.35,2.71,3.95,10.01,11.72,1.7,4.33,67.75,6.63
2019,1,14,5.67,-6.6,-0.47,2.57,14.03,13.58,-0.46,2.69,41.75,0.0
2019,1,15,9.03,-6.05,1.49,4.28,13.03,16.24,3.21,2.87,34.44,0.0
