-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  31.1048   Longitude 77.1734 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 897.65 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,10.73,-1.2,4.76,7.27,9.41,16.98,7.58,3.91,45.5,0.02
2019,1,2,10.51,2.01,6.26,8.55,9.62,16.74,7.12,4.82,56.94,0.11
2019,1,3,9.17,1.35,5.26,7.18,12.04,17.04,5.0,4.58,60.44,0.0
2019,1,4,9.89,-0.38,4.76,7.66,13.77,18.15,4.39,4.09,51.31,0.07
2019,1,5,9.66,2.67,6.16,8.5,8.14,15.03,6.89,5.07,63.06,0.6
2019,1,6,6.34,3.76,5.05,5.44,4.15,8.36,4.2,5.49,84.0,3.99
2019,1,7,8.85,2.83,5.83,7.14,12.48,16.28,3.8,5.13,67.69,0.0
2019,1,8,10.12,1.6,5.86,7.89,12.62,18.3,5.67,4.76,57.19,0.0
2019,1,9,9.68,1.58,5.63,7.77,12.05,17.15,5.11,4.7,58.81,0.0
2019,1,10,10.4,0.11,5.26,7.75,10.66,16.78,6.12,4.27,50.12,0.0
2019,1,11,10.33,2.15,6.24,8.68,10.59,16.75,6.15,4.88,58.62,0.0
2019,1,12,10.02,2.9,6.46,8.58,9.91,16.04,6.12,5.19,62.94,0.77
2019,1,13,8.63,2.08,5.35,7.42,11.45,15.1,3.64,4.88,65.62,3.16
2019,1,14,7.52,-3.7,1.9,5.77,14.06,15.94,1.87,3.17,46.94,0.0
2019,1,15,9.27,-4.32,2.48,6.46,14.48,17.92,3.44,3.05,39.62,0.0
2019,1,16,12.58,-1.24,5.67,9.33,9.92,18.71,8.79,3.85,39.56,0.0
2019,1,17,11.28,1.85,6.56,8.98,12.27,18.89,6.63,4.76,54.12,0.0
2019,1,18,11.02,-1.76,4.63,9.35,14.34,19.4,5.06,3.72,43.5,0.0
2019,1,19,13.02,4.45,8.73,11.24,8.74,17.87,9.13,5.8,56.81,0.0
2019,1,20,14.84,5.08,9.96,12.26,7.08,19.43,12.35,5.98,52.69,0.06
2019,1,21,12.99,5.91,9.45,11.08,8.17,17.26,9.1,6.41,63.06,6.52
2019,1,22,7.4,5.66,6.53,6.46,3.4,8.82,5.42,6.29,89.12,36.5
2019,1,23,7.98,4.41,6.19,6.35,8.16,12.68,4.52,5.74,78.94,2.51
2019,1,24,7.91,2.22,5.06,6.26,10.87,14.32,3.46,4.88,69.12,0.05
2019,1,25,5.31,0.4,2.86,3.08,8.64,10.3,1.65,4.33,71.44,5.69
2019,1,26,6.08,-2.07,2.01,4.3,13.47,14.24,0.77,3.6,58.31,0.05
2019,1,27,6.27,-1.71,2.28,4.3,10.66,12.47,1.8,3.72,57.81,0.36
2019,1,28,6.65,-2.17,2.24,5.15,13.2,14.75,1.55,3.54,55.56,0.02
2019,1,29,7.83,-3.92,1.96,5.78,15.41,16.38,0.98,3.11,45.12,0.0
2019,1,30,8.76,0.81,4.79,6.6,8.46,14.05,5.59,4.58,59.62,1.59
2019,1,31,9.65,5.03,7.34,8.83,9.3,15.15,5.84,5.98,74.06,4.01
2019,2,1,8.9,3.49,6.19,7.67,10.01,14.76,4.76,5.37,70.69,1.82
2019,2,2,10.33,3.01,6.66,8.97,13.83,18.4,4.58,5.19,62.88,0.0
2019,2,3,11.11,1.2,6.15,9.14,13.38,18.9,5.53,4.64,52.44,0.0
2019,2,4,12.77,0.34,6.56,10.44,15.18,21.62,6.44,4.39,45.31,0.0
2019,2,5,13.51,3.42,8.47,11.66,11.05,19.96,8.9,5.37,52.12,0.0
2019,2,6,12.83,6.91,9.87,12.26,10.16,18.83,8.67,6.9,69.12,0.41
2019,2,7,10.9,9.43,10.16,10.44,9.11,15.5,6.39,8.18,90.94,36.87
