-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  31.5602   Longitude 76.2247 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 485.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,11.52,0.15,5.83,8.65,8.19,17.05,8.85,4.09,46.62,0.07
2019,1,2,12.53,2.93,7.73,10.53,8.95,17.9,8.94,4.88,53.69,0.23
2019,1,3,11.94,2.55,7.24,9.46,10.3,18.64,8.33,4.76,53.75,0.0
2019,1,4,12.48,0.76,6.62,9.65,11.33,19.57,8.24,4.21,46.38,0.2
2019,1,5,12.12,4.34,8.23,10.58,7.84,17.17,9.33,5.43,60.0,1.13
2019,1,6,8.94,6.03,7.48,8.07,3.14,10.67,7.53,6.1,82.06,5.1
2019,1,7,11.12,4.3,7.72,9.79,11.38,18.02,6.65,5.43,64.25,0.0
2019,1,8,12.51,3.31,7.9,10.48,11.73,19.87,8.14,5.07,55.31,0.0
2019,1,9,12.7,2.72,7.71,10.43,11.86,20.2,8.34,4.82,52.12,0.0
2019,1,10,12.55,0.97,6.76,9.67,8.85,17.73,8.87,4.33,46.19,0.0
2019,1,11,12.9,3.51,8.2,11.74,10.7,19.24,8.54,5.13,54.88,0.0
2019,1,12,11.49,4.28,7.89,9.93,7.45,16.16,8.72,5.43,61.88,1.37
2019,1,13,10.83,4.02,7.42,10.15,11.18,17.66,6.48,5.31,65.5,3.99
2019,1,14,10.23,-2.71,3.76,8.26,13.61,19.01,5.4,3.3,42.44,0.0
2019,1,15,10.6,-3.52,3.55,7.37,11.32,17.21,5.88,3.11,37.69,0.0
2019,1,16,13.17,-1.05,6.06,10.06,11.58,19.78,8.2,3.78,39.06,0.0
2019,1,17,13.48,2.66,8.07,10.7,10.94,20.44,9.51,4.82,49.44,0.0
2019,1,18,13.04,-0.02,6.51,10.87,11.66,20.43,8.78,4.09,42.94,0.0
2019,1,19,13.84,5.81,9.83,11.97,6.71,18.19,11.48,6.04,58.88,0.0
2019,1,20,15.56,7.07,11.32,12.92,5.3,18.49,13.19,6.59,57.31,0.49
2019,1,21,14.58,8.15,11.37,12.78,8.0,18.9,10.9,7.14,66.38,10.87
2019,1,22,10.19,8.48,9.33,9.42,3.29,12.04,8.75,7.26,89.19,31.4
2019,1,23,11.05,6.17,8.61,9.47,8.58,16.0,7.42,6.16,73.19,0.86
2019,1,24,10.55,3.91,7.23,8.97,10.06,16.87,6.81,5.25,65.0,1.11
2019,1,25,8.96,1.89,5.42,6.38,7.76,13.53,5.77,4.58,61.69,2.69
2019,1,26,9.37,0.25,4.8,7.37,10.62,16.01,5.38,4.03,54.38,0.0
2019,1,27,9.07,-0.88,4.09,6.87,9.01,15.22,6.21,3.72,50.69,0.07
