-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  28.7147   Longitude 77.177 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,11.9,-2.47,4.71,10.3,14.97,21.08,6.12,3.23,38.62,0.0
2019,1,2,13.33,-0.23,6.55,11.45,14.84,22.36,7.51,3.78,41.19,0.0
2019,1,3,11.71,0.81,6.26,10.98,16.46,21.25,4.79,4.09,49.25,0.0
2019,1,4,11.29,1.28,6.29,10.12,12.96,18.3,5.34,4.21,52.44,0.0
2019,1,5,12.55,1.64,7.09,12.14,17.8,22.68,4.88,4.33,50.56,0.01
2019,1,6,11.96,5.08,8.52,11.73,10.23,18.51,8.27,5.55,64.56,2.08
2019,1,7,11.88,5.73,8.8,11.76,15.53,21.08,5.55,5.8,70.19,0.12
2019,1,8,12.31,3.27,7.8,12.32,15.32,21.61,6.29,4.88,58.62,0.0
2019,1,9,12.51,0.44,6.48,12.31,16.71,22.49,5.78,3.97,46.38,0.0
2019,1,10,13.12,-0.84,6.14,11.58,17.05,21.9,4.86,3.6,41.62,0.0
2019,1,11,13.83,-1.63,6.1,11.62,14.8,21.69,6.88,3.42,36.19,0.0
2019,1,12,14.62,-0.56,7.03,12.49,12.49,21.83,9.33,3.72,36.69,0.0
2019,1,13,13.85,4.14,9.0,13.26,13.96,21.94,7.98,5.19,54.38,0.0
2019,1,14,11.55,-3.2,4.18,11.5,16.38,20.81,4.43,3.11,39.94,0.0
2019,1,15,11.55,-6.4,2.57,11.18,18.76,22.21,3.45,2.38,30.44,0.0
2019,1,16,13.67,-4.38,4.65,11.37,13.35,21.21,7.86,2.75,29.44,0.0
2019,1,17,12.75,-4.41,4.17,10.8,16.62,22.12,5.51,2.75,32.0,0.0
2019,1,18,12.6,-1.86,5.37,11.7,18.19,22.26,4.08,3.36,39.12,0.0
2019,1,19,15.13,-0.78,7.18,13.87,17.71,25.6,7.9,3.66,36.44,0.0
2019,1,20,17.58,0.9,9.24,16.22,15.74,27.13,11.38,4.15,34.75,0.0
2019,1,21,16.23,4.19,10.21,15.75,10.94,22.66,11.73,5.31,46.88,10.29
2019,1,22,13.62,9.49,11.56,13.68,10.43,19.3,8.87,7.51,77.75,23.55
