-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  21.347   Longitude 83.632 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,15.65,4.28,9.97,13.67,16.34,23.53,7.19,5.25,49.62,0.0
2019,1,2,16.45,5.76,11.1,14.66,16.73,24.84,8.12,5.8,51.56,0.0
2019,1,3,17.1,6.3,11.7,14.8,15.66,24.86,9.2,6.04,51.25,0.0
2019,1,4,16.65,5.43,11.04,14.85,16.74,24.89,8.15,5.68,50.62,0.0
2019,1,5,16.72,6.58,11.65,15.27,15.68,24.29,8.61,6.16,53.56,0.0
2019,1,6,17.2,7.92,12.56,15.74,15.73,25.37,9.63,6.71,56.75,0.0
2019,1,7,18.01,8.38,13.2,16.26,15.42,26.48,11.05,6.96,56.31,0.0
2019,1,8,16.3,7.74,12.02,15.75,14.36,24.12,9.76,6.65,60.06,0.0
2019,1,9,16.81,7.33,12.07,15.64,15.86,24.57,8.71,6.47,57.19,0.0
2019,1,10,17.14,6.23,11.68,15.73,16.26,24.99,8.74,5.98,51.69,0.0
2019,1,11,16.54,6.87,11.7,15.53,14.56,24.04,9.48,6.29,55.44,0.0
2019,1,12,17.62,7.21,12.42,16.13,14.87,24.76,9.9,6.41,52.62,0.0
2019,1,13,18.57,8.68,13.62,16.75,13.41,25.33,11.91,7.08,54.12,0.0
2019,1,14,18.57,10.83,14.7,17.8,13.55,25.65,12.08,8.24,62.25,0.0
2019,1,15,17.38,6.65,12.01,16.58,15.46,25.15,9.69,6.16,52.94,0.0
2019,1,16,16.72,3.3,10.01,15.58,17.44,24.93,7.49,4.88,44.56,0.0
2019,1,17,17.69,3.44,10.56,15.9,16.16,25.58,9.43,4.94,41.19,0.0
2019,1,18,18.28,4.2,11.24,16.15,16.15,26.75,10.6,5.25,41.88,0.0
2019,1,19,17.87,4.22,11.05,16.58,18.45,26.87,8.43,5.25,44.31,0.0
2019,1,20,18.51,4.08,11.3,17.06,18.09,27.44,9.36,5.19,42.0,0.0
2019,1,21,19.58,5.66,12.62,18.12,17.61,28.84,11.23,5.8,43.31,0.0
2019,1,22,19.4,8.15,13.77,18.55,17.14,28.87,11.73,6.84,51.38,0.0
2019,1,23,19.58,11.54,15.56,19.53,16.64,28.69,12.05,8.61,65.25,0.0
2019,1,24,20.26,11.38,15.82,20.23,16.55,29.25,12.7,8.54,62.81,0.0
2019,1,25,19.85,10.83,15.34,20.17,16.95,28.94,12.0,8.24,61.38,1.56
