-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  20.774   Longitude 86.7437 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 11.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,18.23,10.16,14.2,18.07,9.39,23.37,13.98,7.63,61.0,0.0
2019,1,2,18.43,10.58,14.5,18.15,10.23,23.58,13.35,7.87,62.5,0.0
2019,1,3,20.12,10.83,15.48,18.62,9.54,25.55,16.01,8.0,56.5,0.0
2019,1,4,18.65,11.33,14.99,18.33,9.38,23.52,14.15,8.3,64.56,0.0
2019,1,5,18.0,11.19,14.59,18.08,9.88,23.22,13.34,8.24,66.69,0.0
2019,1,6,18.94,12.01,15.48,18.65,9.95,24.1,14.15,8.67,66.06,0.0
2019,1,7,19.73,11.87,15.8,19.1,11.47,25.96,14.5,8.61,63.19,0.0
2019,1,8,20.12,12.64,16.38,19.35,10.59,25.69,15.1,9.03,63.94,0.0
2019,1,9,20.05,14.3,17.18,19.51,8.16,24.47,16.31,10.07,70.69,0.0
2019,1,10,19.52,14.79,17.15,19.35,8.26,23.91,15.66,10.38,75.75,0.0
2019,1,11,19.12,13.07,16.09,18.86,8.3,23.3,15.0,9.28,70.0,0.0
2019,1,12,19.65,12.14,15.9,19.02,8.19,24.21,16.03,8.73,63.25,0.0
2019,1,13,19.78,12.42,16.1,19.15,8.92,24.4,15.48,8.91,63.44,0.0
2019,1,14,20.32,13.37,16.85,19.83,11.47,26.58,15.1,9.52,67.12,0.0
2019,1,15,19.65,13.98,16.82,19.39,7.59,23.74,16.15,9.89,71.44,0.0
2019,1,16,18.51,11.23,14.87,18.65,9.0,22.98,13.98,8.3,65.56,0.0
2019,1,17,19.59,11.05,15.33,19.12,9.67,24.87,15.19,8.18,59.94,0.0
2019,1,18,19.76,12.08,15.91,19.54,11.48,26.17,14.69,8.85,65.56,0.0
2019,1,19,19.7,14.64,17.17,19.4,8.98,24.49,15.51,10.31,74.88,0.0
2019,1,20,20.09,14.4,17.25,19.9,9.29,25.46,16.16,10.19,72.75,0.0
2019,1,21,20.55,14.58,17.56,20.19,10.14,26.26,16.12,10.31,72.12,0.0
2019,1,22,20.9,14.98,17.94,20.65,11.79,27.55,15.76,10.62,73.38,0.0
2019,1,23,20.76,15.44,18.1,20.87,11.49,27.4,15.9,10.93,75.81,0.0
2019,1,24,21.13,15.28,18.21,20.98,10.52,27.07,16.55,10.8,73.06,0.0
2019,1,25,20.92,15.12,18.02,20.8,10.42,26.71,16.29,10.68,72.75,0.0
2019,1,26,21.31,15.53,18.42,21.15,9.97,26.55,16.58,10.93,71.88,0.0
2019,1,27,21.03,15.96,18.5,21.48,8.08,25.26,17.19,11.17,74.38,0.0
2019,1,28,21.51,15.69,18.61,21.78,6.99,25.39,18.4,10.99,70.75,0.0
2019,1,29,20.94,14.57,17.76,21.19,7.34,25.06,17.73,10.25,68.31,0.0
2019,1,30,19.07,8.33,13.69,19.54,9.52,23.83,14.31,6.9,53.44,0.0
2019,1,31,19.43,7.56,13.5,19.05,9.56,24.19,14.62,6.47,48.0,0.0
2019,2,1,19.69,10.59,15.14,19.59,11.04,25.46,14.42,7.93,58.25,0.0
2019,2,2,20.41,11.04,15.73,20.33,13.01,27.49,14.48,8.24,59.38,0.0
2019,2,3,21.1,12.23,16.67,20.73,11.34,27.02,15.67,8.85,60.0,0.0
2019,2,4,21.29,12.87,17.08,21.15,11.28,27.29,16.0,9.22,61.75,0.0
2019,2,5,21.8,13.23,17.51,21.47,11.77,27.98,16.2,9.46,62.06,0.0
2019,2,6,22.35,14.5,18.42,22.1,10.54,28.51,17.97,10.31,64.5,0.0
2019,2,7,22.9,16.11,19.51,22.88,10.1,28.98,18.87,11.41,69.0,0.0
2019,2,8,22.74,17.88,20.31,23.24,9.98,28.3,18.33,12.7,76.94,0.06
2019,2,9,22.94,18.74,20.84,23.04,8.13,27.85,19.71,13.43,79.31,0.21
2019,2,10,20.44,11.02,15.73,21.37,8.88,25.28,16.4,8.36,59.25,0.05
2019,2,11,20.11,9.27,14.69,20.44,10.11,25.32,15.22,7.26,52.56,0.0
2019,2,12,20.65,10.37,15.51,20.77,10.77,25.8,15.04,7.81,54.62,0.0
2019,2,13,21.17,11.99,16.58,21.36,10.88,26.69,15.8,8.67,58.25,0.0
2019,2,14,22.0,14.01,18.01,22.49,12.76,28.72,15.96,9.89,64.19,0.0
2019,2,15,23.12,15.09,19.11,23.31,12.49,30.12,17.63,10.74,65.56,0.0
2019,2,16,23.08,16.15,19.62,23.28,10.76,28.97,18.21,11.41,68.56,0.25
2019,2,17,23.78,17.41,20.59,23.76,9.14,29.11,19.97,12.39,69.56,3.12
2019,2,18,22.09,15.31,18.7,22.98,10.37,27.44,17.07,10.93,67.81,0.2
2019,2,19,23.91,16.87,20.39,24.13,11.82,30.62,18.8,12.08,70.0,0.29
2019,2,20,24.87,19.65,22.26,25.14,11.69,32.11,20.41,14.28,77.31,1.99
2019,2,21,25.46,19.12,22.29,25.75,10.2,31.67,21.47,13.85,72.62,1.6
2019,2,22,26.19,18.45,22.33,26.44,13.88,33.96,20.08,13.37,68.69,0.11
2019,2,23,27.23,19.91,23.57,27.26,12.2,34.44,22.23,14.65,69.75,1.73
2019,2,24,26.13,21.39,23.76,26.65,8.25,31.1,22.84,15.99,78.06,3.52
