-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  20.6131   Longitude 85.2024 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 186.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.91,7.29,11.1,13.44,15.0,22.84,7.84,6.47,62.0,0.0
2019,1,2,15.73,8.32,12.03,14.14,14.12,23.27,9.15,6.96,62.69,0.0
2019,1,3,16.13,8.39,12.26,14.34,14.68,24.37,9.69,6.96,61.56,0.0
2019,1,4,16.44,8.27,12.35,14.37,14.73,23.55,8.82,6.9,60.31,0.0
2019,1,5,16.87,8.75,12.81,14.35,13.2,23.25,10.05,7.08,60.25,0.0
2019,1,6,17.33,8.94,13.13,14.87,13.2,24.36,11.16,7.2,59.06,0.0
2019,1,7,18.29,8.58,13.44,15.62,14.27,25.68,11.41,7.02,55.0,0.0
2019,1,8,16.68,10.03,13.36,15.69,13.95,24.53,10.58,7.81,66.25,0.0
2019,1,9,16.64,8.62,12.63,15.42,14.95,24.4,9.44,7.08,61.25,0.0
2019,1,10,17.3,8.56,12.94,15.31,14.23,24.31,10.08,7.02,58.12,0.0
2019,1,11,17.05,10.69,13.87,15.65,12.97,24.19,11.22,8.12,68.81,0.0
2019,1,12,17.29,9.92,13.6,15.65,12.98,23.88,10.9,7.69,63.44,0.0
