-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  20.9229   Longitude 85.5561 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 173.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,15.62,7.0,11.3,14.01,15.86,23.65,7.78,6.29,58.94,0.0
2019,1,2,16.49,7.75,12.12,14.51,14.64,24.11,9.48,6.65,58.19,0.0
2019,1,3,16.18,8.2,12.19,14.63,15.1,24.9,9.8,6.9,61.38,0.0
2019,1,4,16.54,7.1,11.82,14.71,16.16,24.55,8.39,6.35,56.81,0.0
2019,1,5,17.24,7.06,12.15,14.53,14.19,23.83,9.65,6.35,53.12,0.0
2019,1,6,17.86,8.33,13.09,15.44,14.2,25.51,11.3,6.9,55.44,0.0
2019,1,7,18.34,8.4,13.37,15.85,14.98,26.01,11.04,6.96,54.5,0.0
2019,1,8,17.02,10.62,13.82,16.2,14.55,25.21,10.65,8.12,68.0,0.0
2019,1,9,17.41,10.45,13.94,16.37,14.34,24.92,10.58,8.0,65.94,0.0
2019,1,10,17.35,8.54,12.94,15.87,15.07,24.9,9.83,7.02,59.44,0.0
2019,1,11,17.07,11.4,14.23,15.74,12.1,23.52,11.41,8.48,71.38,0.0
2019,1,12,17.43,10.12,13.77,16.05,13.93,24.52,10.6,7.81,64.62,0.0
2019,1,13,18.45,10.63,14.55,16.7,14.03,25.55,11.51,8.06,62.62,0.0
2019,1,14,18.16,11.8,14.98,17.32,14.34,25.97,11.62,8.73,68.62,0.0
2019,1,15,18.6,10.25,14.43,17.5,13.23,25.54,12.3,7.87,61.5,0.0
2019,1,16,17.13,9.86,13.49,16.11,14.27,24.2,9.94,7.69,65.5,0.0
2019,1,17,17.47,8.25,12.86,15.95,14.34,24.9,10.55,6.9,58.06,0.0
2019,1,18,17.87,6.51,12.19,16.08,16.6,26.61,10.01,6.1,50.19,0.0
2019,1,19,18.08,7.11,12.59,16.57,17.09,26.49,9.41,6.35,52.12,0.0
2019,1,20,18.83,6.42,12.62,16.98,17.01,27.26,10.26,6.1,47.25,0.0
2019,1,21,19.15,8.14,13.65,17.97,17.58,28.52,10.94,6.84,53.25,0.0
2019,1,22,19.39,12.27,15.83,18.46,13.88,27.93,14.06,9.03,68.31,0.0
2019,1,23,19.62,13.51,16.56,19.13,14.16,28.23,14.06,9.77,72.44,0.0
2019,1,24,20.17,12.08,16.13,19.54,15.86,29.27,13.41,8.97,66.38,0.0
2019,1,25,19.73,11.44,15.58,19.13,15.12,28.45,13.33,8.61,65.19,0.0
2019,1,26,20.1,12.54,16.32,19.86,13.68,27.58,13.9,9.22,67.31,0.01
2019,1,27,19.57,14.06,16.81,19.99,11.28,25.97,14.69,10.07,72.56,0.05
2019,1,28,20.41,14.58,17.5,20.87,9.83,25.37,15.55,10.44,71.0,0.0
2019,1,29,19.67,10.49,15.08,20.01,13.38,26.5,13.12,8.06,58.44,0.0
2019,1,30,17.05,3.37,10.21,16.85,16.97,25.69,8.72,4.94,44.62,0.0
2019,1,31,17.56,5.32,11.44,17.1,16.47,26.31,9.84,5.62,49.31,0.0
2019,2,1,19.46,4.77,12.12,17.9,17.26,28.3,11.05,5.43,42.25,0.0
2019,2,2,20.18,5.27,12.73,18.89,18.34,29.35,11.01,5.62,41.31,0.0
2019,2,3,20.55,8.22,14.38,19.69,16.03,29.22,13.18,6.9,48.75,0.0
2019,2,4,21.35,8.64,14.99,20.38,17.51,29.96,12.45,7.02,48.25,0.0
2019,2,5,20.94,8.87,14.9,20.81,17.35,29.88,12.53,7.2,50.12,0.0
2019,2,6,22.22,10.56,16.39,22.05,16.73,30.58,13.86,8.0,51.5,0.0
2019,2,7,22.59,12.12,17.36,22.48,13.41,30.65,17.24,8.91,54.69,0.0
2019,2,8,22.4,15.19,18.8,22.99,14.91,30.73,15.82,10.93,68.69,0.1
2019,2,9,21.9,13.87,17.88,22.21,13.84,29.42,15.58,10.31,64.12,0.29
2019,2,10,19.39,4.65,12.01,19.55,16.98,28.05,11.06,5.37,41.69,0.0
2019,2,11,19.38,5.94,12.66,19.06,16.41,27.57,11.17,5.86,46.25,0.0
2019,2,12,19.89,6.94,13.42,19.95,16.78,28.92,12.14,6.29,47.88,0.0
2019,2,13,21.18,8.31,14.75,21.28,17.69,30.44,12.75,6.9,48.56,0.0
2019,2,14,22.08,11.04,16.56,22.65,17.04,31.83,14.8,8.3,55.5,0.0
2019,2,15,23.09,13.48,18.29,23.63,15.72,32.19,16.48,9.77,60.44,0.0
2019,2,16,22.38,15.37,18.87,22.65,13.27,29.48,16.2,11.05,68.25,6.94
2019,2,17,22.68,13.73,18.21,23.36,13.17,30.54,17.37,10.01,60.56,0.21
2019,2,18,21.98,6.32,14.15,22.11,18.03,31.04,13.01,6.1,40.75,0.0
2019,2,19,23.89,11.28,17.58,23.9,16.73,32.99,16.26,8.61,51.06,0.0
2019,2,20,25.18,15.53,20.36,25.77,16.33,34.31,17.98,11.35,62.75,0.0
2019,2,21,26.21,16.01,21.12,27.07,15.58,34.76,19.19,11.66,60.88,0.0
2019,2,22,27.05,14.29,20.67,27.38,17.41,36.36,18.95,10.38,50.94,0.0
2019,2,23,27.59,15.43,21.51,28.26,16.38,36.35,19.97,11.17,51.94,0.0
2019,2,24,27.09,14.23,20.66,28.44,16.07,35.34,19.26,10.31,48.94,0.05
2019,2,25,25.71,20.01,22.86,26.48,12.46,33.14,20.69,14.89,74.56,10.16
2019,2,26,25.83,19.42,22.62,26.67,12.06,32.98,20.92,14.4,72.75,7.05
2019,2,27,25.63,19.23,22.43,26.26,10.16,31.77,21.62,14.22,71.75,6.57
2019,2,28,24.01,15.71,19.87,25.29,12.63,30.69,18.07,11.35,63.31,3.26
2019,3,1,22.8,15.15,18.98,24.35,12.23,29.39,17.15,10.93,65.94,0.18
2019,3,2,22.8,13.76,18.28,24.7,14.69,30.51,15.83,9.89,60.56,0.0
2019,3,3,23.9,15.62,19.76,25.49,15.15,31.98,16.83,11.23,65.0,0.0
2019,3,4,26.17,19.44,22.8,27.3,13.71,33.52,19.81,14.34,70.81,0.5
2019,3,5,27.21,19.58,23.4,28.52,12.78,34.28,21.5,14.65,68.88,2.74
2019,3,6,26.75,19.79,23.27,28.45,10.73,32.93,22.19,14.77,69.81,0.83
2019,3,7,25.62,16.51,21.07,27.35,12.66,32.48,19.83,11.96,61.69,0.0
2019,3,8,25.19,13.07,19.12,25.91,14.05,32.48,18.42,9.64,52.5,0.0
2019,3,9,25.48,13.48,19.48,26.31,15.31,33.76,18.44,10.07,55.38,0.0
2019,3,10,26.62,17.44,22.03,27.73,16.58,35.66,19.08,12.76,64.12,0.0
2019,3,11,28.17,17.28,22.73,29.21,15.83,36.99,21.17,12.76,59.56,0.01
2019,3,12,28.69,18.84,23.76,30.16,16.16,37.4,21.24,13.98,61.81,0.0
