-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  19.4749   Longitude 84.7472 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 60.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,18.25,9.58,13.91,18.8,10.27,23.46,13.19,7.45,58.56,0.0
2019,1,2,18.9,10.98,14.94,19.08,10.08,24.01,13.93,8.18,61.31,0.0
2019,1,3,19.83,10.58,15.21,19.57,10.54,25.66,15.12,8.0,56.88,0.0
2019,1,4,19.25,11.05,15.15,19.38,9.96,24.26,14.3,8.24,60.75,0.0
2019,1,5,19.15,11.94,15.55,19.27,9.55,23.99,14.44,8.73,64.75,0.0
2019,1,6,19.58,12.0,15.8,19.59,10.03,24.7,14.67,8.73,63.25,0.0
2019,1,7,20.42,11.81,16.12,20.27,11.1,26.19,15.09,8.67,60.0,0.0
2019,1,8,20.65,11.7,16.18,20.44,10.12,26.08,15.96,8.61,57.69,0.0
2019,1,9,19.8,10.55,15.17,20.14,10.07,25.04,14.97,8.0,57.06,0.0
2019,1,10,19.91,11.76,15.83,20.12,9.62,24.97,15.36,8.67,61.06,0.0
2019,1,11,20.23,14.21,17.22,20.48,8.76,24.68,15.91,10.07,69.94,0.0
2019,1,12,19.95,13.34,16.65,20.57,8.95,24.44,15.5,9.52,67.31,0.0
2019,1,13,20.63,13.46,17.05,20.76,8.91,24.87,15.96,9.58,64.5,0.0
2019,1,14,21.54,13.55,17.55,21.39,9.96,26.67,16.7,9.7,62.12,0.0
2019,1,15,20.8,13.89,17.34,21.08,8.73,25.55,16.82,9.95,66.56,0.0
2019,1,16,19.93,13.26,16.59,20.56,9.02,24.42,15.4,9.64,67.94,0.0
2019,1,17,20.44,13.09,16.77,20.93,9.36,25.21,15.85,9.4,64.88,0.0
2019,1,18,21.14,13.36,17.25,21.45,11.02,26.91,15.89,9.64,64.75,0.0
2019,1,19,20.83,12.11,16.47,21.02,10.13,25.78,15.65,8.97,60.88,0.0
2019,1,20,21.27,10.65,15.96,21.4,10.4,26.61,16.2,8.12,53.19,0.0
2019,1,21,21.23,11.3,16.26,21.51,10.45,26.97,16.51,8.48,55.81,0.0
2019,1,22,21.77,15.18,18.48,22.12,9.3,26.83,17.53,10.86,68.69,0.0
2019,1,23,21.76,16.42,19.09,22.58,9.2,26.81,17.61,11.72,75.06,0.0
