-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  20.5035   Longitude 86.4199 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,17.07,8.56,12.82,15.63,14.35,24.5,10.14,6.9,59.62,0.0
2019,1,2,17.8,9.23,13.51,16.01,14.79,25.12,10.33,7.2,61.25,0.0
2019,1,3,18.31,9.45,13.88,16.39,14.2,26.03,11.83,7.32,58.38,0.0
2019,1,4,17.33,10.37,13.86,16.5,14.69,25.26,10.58,7.75,67.06,0.0
2019,1,5,17.26,9.85,13.55,16.02,14.8,24.82,10.02,7.51,65.56,0.0
2019,1,6,17.87,10.8,14.33,16.94,15.62,26.4,10.78,8.0,67.69,0.0
2019,1,7,19.16,9.74,14.45,17.5,16.48,27.24,10.75,7.51,59.12,0.0
2019,1,8,18.95,11.01,14.98,18.03,15.16,27.06,11.9,8.18,62.31,0.0
2019,1,9,19.33,12.44,15.88,18.57,13.71,26.36,12.65,8.91,66.94,0.0
2019,1,10,19.02,12.64,15.83,18.25,13.23,25.86,12.63,9.09,70.06,0.0
2019,1,11,18.87,12.75,15.81,18.06,11.3,24.9,13.58,9.16,71.0,0.0
2019,1,12,18.9,11.93,15.41,18.04,12.81,25.64,12.83,8.61,66.88,0.0
2019,1,13,19.35,11.57,15.46,18.26,14.14,26.3,12.15,8.42,63.12,0.0
2019,1,14,19.79,12.36,16.08,18.99,15.01,27.3,12.29,8.91,65.19,0.0
2019,1,15,19.12,13.36,16.24,19.08,12.22,26.06,13.84,9.46,71.75,0.0
2019,1,16,18.44,12.03,15.23,18.16,13.07,25.23,12.15,8.73,69.31,0.0
2019,1,17,18.76,10.57,14.66,18.23,13.41,25.83,12.41,7.87,61.88,0.0
2019,1,18,19.29,9.27,14.28,18.35,16.23,27.56,11.33,7.32,56.88,0.0
2019,1,19,19.26,11.3,15.28,18.55,15.49,26.97,11.48,8.3,64.38,0.0
2019,1,20,20.21,10.4,15.31,19.08,14.61,27.79,13.17,7.87,58.12,0.0
2019,1,21,20.1,11.43,15.76,19.69,15.78,28.76,12.98,8.42,62.12,0.0
2019,1,22,21.01,14.43,17.72,20.69,13.96,29.25,15.3,10.25,72.38,0.0
2019,1,23,20.9,14.41,17.65,20.93,14.66,29.51,14.85,10.25,72.5,0.0
2019,1,24,20.88,13.76,17.33,20.93,16.48,29.87,13.37,9.89,70.25,0.0
2019,1,25,20.68,14.09,17.38,20.73,15.92,29.39,13.47,10.13,72.56,0.0
2019,1,26,21.57,14.64,18.1,21.35,13.33,28.84,15.51,10.44,69.19,0.0
2019,1,27,21.44,14.9,18.17,21.9,12.55,28.3,15.76,10.5,69.62,0.0
2019,1,28,21.77,15.04,18.4,22.26,10.62,27.45,16.83,10.56,67.94,0.0
2019,1,29,21.65,13.65,17.65,21.89,11.48,27.59,16.11,9.7,63.12,0.0
2019,1,30,18.43,7.87,13.15,19.05,14.05,26.4,12.35,6.65,56.0,0.0
2019,1,31,18.4,6.52,12.46,18.53,16.34,27.03,10.69,6.1,51.75,0.0
2019,2,1,19.37,7.94,13.65,19.19,17.62,28.61,10.99,6.71,53.69,0.0
2019,2,2,20.45,8.52,14.49,20.25,17.42,29.59,12.17,7.02,52.56,0.0
2019,2,3,21.19,10.57,15.88,20.89,16.17,29.75,13.57,8.0,56.31,0.0
2019,2,4,21.83,11.44,16.64,21.78,17.0,30.45,13.45,8.42,58.0,0.0
2019,2,5,22.44,11.21,16.82,22.1,16.26,30.38,14.12,8.3,55.06,0.0
2019,2,6,22.59,11.62,17.11,23.08,16.16,31.26,15.1,8.48,54.19,0.0
2019,2,7,23.39,14.48,18.94,23.88,13.64,31.5,17.85,10.31,62.5,0.0
2019,2,8,23.44,16.66,20.05,24.3,13.67,31.19,17.51,11.84,70.75,0.02
2019,2,9,23.83,17.41,20.62,24.4,11.3,30.6,19.29,12.39,70.44,0.09
2019,2,10,20.69,9.37,15.03,21.59,13.41,28.29,14.88,7.39,53.31,0.0
