-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  21.4981   Longitude 85.8358 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 341.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.9,5.2,10.05,13.21,16.82,23.53,6.71,5.68,54.94,0.0
2019,1,2,16.01,5.7,10.86,13.8,15.88,24.12,8.25,5.92,52.69,0.0
2019,1,3,15.84,5.99,10.92,14.01,16.0,24.87,8.87,5.98,54.56,0.0
2019,1,4,15.7,4.89,10.3,14.04,17.18,24.52,7.35,5.55,52.19,0.0
2019,1,5,16.62,5.36,10.98,14.08,15.06,23.82,8.76,5.74,49.25,0.0
2019,1,6,17.7,6.67,12.19,15.19,14.49,25.65,11.15,6.29,50.25,0.0
2019,1,7,18.3,6.95,12.62,15.52,14.99,26.16,11.17,6.41,49.62,0.0
2019,1,8,16.39,9.12,12.75,15.6,14.97,24.65,9.68,7.45,64.62,0.0
2019,1,9,16.5,8.78,12.64,15.48,14.77,24.44,9.66,7.26,63.0,0.0
2019,1,10,16.18,6.73,11.45,14.94,15.76,24.26,8.51,6.29,56.94,0.0
2019,1,11,15.89,9.49,12.69,14.76,12.99,23.01,10.01,7.63,69.44,0.0
2019,1,12,16.83,7.94,12.38,15.36,14.83,24.44,9.62,6.84,58.62,0.0
2019,1,13,18.11,8.74,13.43,16.07,14.14,25.48,11.33,7.2,56.81,0.0
2019,1,14,17.86,10.48,14.17,16.78,14.67,25.66,10.99,8.18,64.19,0.0
2019,1,15,17.57,7.71,12.64,16.46,14.31,24.94,10.63,6.77,56.0,0.0
2019,1,16,16.24,6.48,11.36,15.15,15.77,24.16,8.4,6.23,56.0,0.0
2019,1,17,16.97,5.03,11.0,15.13,15.54,25.15,9.62,5.68,49.25,0.0
2019,1,18,17.39,4.29,10.84,15.43,17.27,26.38,9.11,5.37,45.19,0.0
2019,1,19,17.55,4.79,11.17,15.87,17.86,26.25,8.39,5.55,46.75,0.0
2019,1,20,18.12,4.61,11.37,16.3,18.06,27.04,8.98,5.49,44.25,0.0
2019,1,21,18.89,6.24,12.56,17.33,17.7,28.27,10.58,6.1,47.88,0.0
