-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  21.7388   Longitude 85.9432 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 307.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,15.16,4.98,10.08,13.79,16.66,24.08,7.42,5.55,53.56,0.0
2019,1,2,16.29,5.15,10.72,14.23,15.91,24.52,8.61,5.62,50.38,0.0
2019,1,3,17.25,5.54,11.4,14.8,15.45,25.77,10.32,5.8,48.62,0.0
2019,1,4,15.94,5.15,10.55,14.58,16.49,24.86,8.37,5.62,52.62,0.0
2019,1,5,16.27,5.83,11.05,14.39,15.73,24.23,8.51,5.92,52.56,0.0
2019,1,6,17.61,6.66,12.13,15.64,15.06,26.15,11.08,6.29,51.44,0.0
2019,1,7,18.25,6.51,12.38,16.24,16.98,27.22,10.24,6.23,50.0,0.0
2019,1,8,17.94,8.4,13.17,16.46,15.2,25.67,10.47,7.08,56.06,0.0
2019,1,9,17.51,9.79,13.65,16.44,13.84,24.75,10.91,7.75,63.0,0.0
2019,1,10,16.55,8.23,12.4,15.91,15.42,24.96,9.55,7.02,62.62,0.0
2019,1,11,16.85,9.17,13.01,15.44,12.65,23.96,11.31,7.45,65.94,0.0
2019,1,12,17.07,8.7,12.89,15.86,13.91,24.93,11.01,7.2,61.06,0.0
2019,1,13,17.91,8.87,13.39,16.59,15.09,26.09,11.0,7.26,58.75,0.0
2019,1,14,18.64,10.08,14.36,17.57,15.28,26.68,11.4,7.93,60.44,0.0
2019,1,15,17.75,8.62,13.19,17.08,13.37,25.27,11.9,7.2,59.38,0.0
2019,1,16,16.51,6.75,11.62,15.58,15.41,24.57,9.15,6.35,57.25,0.0
2019,1,17,17.44,5.69,11.56,15.9,16.32,25.9,9.58,5.92,51.06,0.0
2019,1,18,17.62,4.78,11.2,16.4,18.24,27.23,8.99,5.55,47.56,0.0
2019,1,19,17.82,7.24,12.53,16.43,17.09,26.33,9.24,6.65,56.31,0.0
2019,1,20,18.34,6.44,12.4,16.99,17.25,27.43,10.17,6.29,51.0,0.0
2019,1,21,18.67,8.33,13.5,17.75,17.1,28.37,11.26,7.14,57.81,0.0
2019,1,22,18.75,10.03,14.39,18.32,17.07,28.56,11.49,7.93,64.94,0.0
2019,1,23,19.34,10.33,14.83,19.28,17.35,29.35,12.0,8.12,64.12,0.0
2019,1,24,20.07,9.82,14.94,19.65,16.12,29.73,13.62,7.81,58.81,0.0
2019,1,25,19.65,8.87,14.26,19.05,15.41,28.58,13.17,7.39,56.44,0.0
2019,1,26,20.17,10.29,15.23,19.62,14.27,27.98,13.71,8.06,56.81,0.0
2019,1,27,19.34,13.19,16.26,19.82,11.59,25.99,14.4,9.64,70.25,0.01
2019,1,28,20.04,13.09,16.57,20.55,10.74,25.67,14.93,9.64,66.75,0.0
2019,1,29,19.58,10.39,14.98,19.75,13.16,25.97,12.8,8.12,58.12,0.0
2019,1,30,16.19,1.42,8.8,16.33,17.41,25.76,8.33,4.46,43.06,0.0
2019,1,31,17.1,2.84,9.98,16.22,17.54,26.39,8.85,4.88,44.06,0.0
2019,2,1,18.58,3.94,11.26,17.37,17.63,28.25,10.62,5.25,42.88,0.0
2019,2,2,18.81,5.21,12.01,18.44,19.27,29.31,10.05,5.8,47.38,0.0
2019,2,3,19.94,7.14,13.54,19.27,16.08,29.13,13.05,6.53,48.62,0.0
2019,2,4,20.08,7.61,13.85,19.61,17.38,29.15,11.77,6.71,49.12,0.0
2019,2,5,20.83,7.46,14.15,19.78,17.13,29.26,12.12,6.65,46.25,0.0
2019,2,6,21.18,10.34,15.76,21.11,16.57,30.15,13.58,8.12,54.38,0.0
2019,2,7,21.58,11.65,16.62,21.85,15.05,30.42,15.36,8.79,58.56,0.0
2019,2,8,21.81,13.27,17.54,22.41,14.95,30.13,15.19,9.83,63.81,0.06
2019,2,9,21.03,13.92,17.48,21.42,13.84,28.62,14.79,10.31,67.56,0.62
2019,2,10,18.11,3.36,10.73,18.66,17.0,27.55,10.56,5.07,42.56,0.0
2019,2,11,18.41,2.83,10.62,17.7,16.8,27.28,10.49,4.88,39.44,0.0
2019,2,12,19.32,4.85,12.08,18.9,17.67,28.98,11.3,5.62,43.94,0.0
2019,2,13,20.58,6.4,13.49,20.51,18.3,30.65,12.33,6.23,45.06,0.0
2019,2,14,21.29,9.04,15.16,22.03,19.18,32.01,12.83,7.39,52.0,0.0
2019,2,15,22.44,11.08,16.76,22.9,16.86,32.12,15.26,8.48,54.5,0.0
2019,2,16,21.4,13.41,17.4,21.67,13.2,28.66,15.47,9.83,63.12,4.85
2019,2,17,21.64,12.5,17.07,22.3,13.29,29.74,16.46,9.4,59.81,0.44
2019,2,18,20.67,6.12,13.4,21.41,18.38,30.38,12.01,6.35,45.38,0.0
2019,2,19,22.86,10.73,16.8,23.3,17.76,32.68,14.92,8.61,56.38,0.02
2019,2,20,23.73,13.78,18.76,24.62,17.46,33.65,16.19,10.31,63.5,0.11
2019,2,21,24.87,14.7,19.79,25.72,16.3,34.36,18.05,11.05,61.88,0.08
2019,2,22,26.39,13.01,19.7,26.61,18.47,35.92,17.44,9.7,50.62,0.0
2019,2,23,27.39,14.26,20.83,27.62,16.07,35.79,19.72,10.44,48.31,0.15
2019,2,24,26.08,14.19,20.13,27.38,16.01,34.55,18.53,10.56,53.12,0.24
2019,2,25,24.19,19.57,21.87,24.86,10.44,30.82,20.39,14.71,79.06,17.06
2019,2,26,24.31,19.33,21.83,24.98,10.68,30.96,20.28,14.53,77.88,20.24
2019,2,27,24.01,18.98,21.49,24.43,9.05,29.62,20.58,14.16,76.44,10.0
2019,2,28,22.48,13.95,18.21,23.57,12.5,29.57,17.08,10.31,63.31,3.38
2019,3,1,20.58,12.8,16.69,21.86,13.28,28.06,14.78,9.52,65.56,0.01
2019,3,2,21.21,12.21,16.71,22.32,15.27,29.55,14.28,9.16,61.38,0.0
2019,3,3,22.07,13.66,17.87,23.29,16.46,30.83,14.37,10.07,64.44,0.0
2019,3,4,24.16,18.74,21.45,24.89,12.88,31.12,18.23,13.98,75.12,4.04
2019,3,5,25.46,19.21,22.33,26.43,11.27,32.17,20.9,14.53,73.44,5.88
2019,3,6,24.42,18.54,21.48,25.45,9.89,30.37,20.48,13.85,73.25,0.57
2019,3,7,23.51,15.44,19.48,24.51,12.71,30.34,17.64,11.29,64.62,0.0
2019,3,8,23.33,11.64,17.48,23.64,14.73,30.82,16.09,8.97,54.06,0.0
2019,3,9,23.74,11.91,17.83,24.12,15.84,32.44,16.59,9.34,56.62,0.0
2019,3,10,25.08,16.57,20.82,25.79,16.13,33.87,17.73,12.21,65.5,0.03
2019,3,11,25.94,16.11,21.02,26.76,16.21,35.05,18.83,12.02,63.31,0.05
2019,3,12,27.12,18.53,22.82,28.14,15.67,35.97,20.3,13.92,65.81,0.05
2019,3,13,27.73,17.48,22.6,28.8,16.31,36.99,20.67,13.18,63.12,0.12
2019,3,14,27.62,18.98,23.3,28.84,14.16,35.8,21.65,14.28,66.25,2.27
2019,3,15,26.41,18.97,22.69,27.2,12.71,33.47,20.76,14.1,67.94,7.55
2019,3,16,26.87,17.65,22.26,27.95,14.93,35.05,20.12,13.0,62.12,0.05
2019,3,17,26.83,17.35,22.09,28.06,15.33,35.31,19.98,12.82,61.69,3.83
2019,3,18,25.09,17.26,21.18,25.62,12.52,32.59,20.07,12.76,66.75,6.58
2019,3,19,25.67,16.09,20.88,26.23,12.48,32.44,19.97,11.78,58.31,0.03
2019,3,20,26.32,13.99,20.15,27.05,15.64,34.3,18.66,10.56,53.56,0.06
2019,3,21,26.93,18.48,22.7,27.87,14.7,35.01,20.31,13.79,65.75,0.38
2019,3,22,27.5,16.82,22.16,28.15,14.94,35.72,20.78,12.39,56.5,1.76
2019,3,23,28.01,13.19,20.59,28.58,15.63,36.2,20.57,9.95,45.81,0.0
2019,3,24,26.51,9.04,17.77,26.98,17.95,35.94,17.98,7.81,41.38,0.0
2019,3,25,26.68,12.39,19.53,27.4,19.17,36.62,17.45,9.64,51.94,0.02
2019,3,26,27.3,16.69,21.99,28.55,17.36,36.85,19.49,12.45,61.19,0.02
2019,3,27,27.19,16.34,21.77,28.09,14.98,35.28,20.3,12.15,58.06,0.06
2019,3,28,27.26,11.85,19.55,28.05,17.3,36.54,19.24,9.52,48.88,0.0
2019,3,29,27.76,15.86,21.81,28.65,16.62,36.73,20.11,12.02,57.44,0.02
