-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  21.932   Longitude 86.7466 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 73.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.61,6.26,10.44,13.4,15.8,23.32,7.51,5.92,59.62,0.0
2019,1,2,15.65,6.59,11.12,13.89,15.72,23.74,8.02,6.04,57.25,0.0
2019,1,3,16.7,6.96,11.83,14.4,15.94,25.26,9.33,6.23,54.94,0.0
2019,1,4,15.58,6.76,11.18,14.08,15.98,23.91,7.94,6.1,58.44,0.0
2019,1,5,15.58,7.63,11.6,14.04,14.86,23.47,8.61,6.53,61.38,0.0
2019,1,6,17.24,8.44,12.83,15.39,15.7,25.3,9.61,6.9,58.5,0.0
2019,1,7,17.79,8.69,13.24,16.21,16.87,26.81,9.94,7.02,58.38,0.0
2019,1,8,17.69,10.05,13.87,16.51,14.29,25.46,11.16,7.69,63.25,0.0
2019,1,9,17.54,10.7,14.12,16.56,14.07,24.93,10.86,8.0,66.62,0.0
2019,1,10,16.94,10.47,13.71,15.98,13.81,24.44,10.63,7.87,68.06,0.0
2019,1,11,16.63,9.51,13.07,15.26,14.29,23.92,9.63,7.39,66.31,0.0
2019,1,12,16.98,9.36,13.17,15.76,14.44,24.88,10.45,7.32,63.31,0.0
2019,1,13,17.59,10.13,13.87,16.53,14.8,25.59,10.79,7.69,64.25,0.0
2019,1,14,18.56,11.34,14.95,17.74,14.35,26.68,12.33,8.42,65.56,0.0
2019,1,15,17.37,9.7,13.53,16.55,12.92,24.67,11.75,7.51,64.06,0.0
2019,1,16,16.16,5.81,10.98,14.84,15.37,23.87,8.5,5.74,54.0,0.0
2019,1,17,16.73,6.83,11.77,15.64,16.66,25.65,8.99,6.23,56.44,0.0
2019,1,18,17.22,8.22,12.72,16.33,16.82,26.5,9.69,6.84,60.88,0.0
2019,1,19,17.46,8.77,13.12,16.23,15.96,25.84,9.89,7.14,62.12,0.0
2019,1,20,17.67,8.47,13.07,16.53,15.85,26.19,10.33,6.96,58.44,0.0
2019,1,21,18.15,9.12,13.64,17.28,16.37,27.51,11.14,7.26,60.0,0.0
2019,1,22,19.12,10.44,14.78,18.69,16.96,28.99,12.04,7.93,62.88,0.0
2019,1,23,19.59,11.47,15.53,19.49,16.65,29.48,12.83,8.48,65.56,0.0
2019,1,24,19.97,11.52,15.75,19.73,15.68,29.23,13.55,8.48,63.06,0.0
2019,1,25,20.22,10.51,15.37,19.29,14.46,28.38,13.92,7.93,56.81,0.0
2019,1,26,19.97,12.3,16.14,19.48,15.16,27.86,12.69,8.91,63.88,0.0
2019,1,27,19.69,14.0,16.84,20.04,11.65,26.32,14.68,9.95,72.44,0.0
2019,1,28,20.05,13.3,16.68,20.34,11.2,26.48,15.27,9.52,67.81,0.0
2019,1,29,18.56,9.67,14.12,18.58,13.4,26.03,12.63,7.51,59.56,0.0
2019,1,30,16.04,2.42,9.23,15.57,17.73,25.37,7.64,4.58,45.5,0.0
2019,1,31,16.92,3.59,10.26,15.75,17.54,25.75,8.21,4.94,45.0,0.0
2019,2,1,18.23,5.85,12.04,17.21,17.67,27.76,10.08,5.8,48.44,0.0
2019,2,2,19.09,6.89,12.99,18.62,18.23,29.15,10.93,6.29,50.31,0.0
2019,2,3,20.16,8.62,14.39,19.59,16.47,29.21,12.73,7.02,52.31,0.0
2019,2,4,20.31,9.21,14.76,19.46,16.27,28.81,12.55,7.26,52.62,0.0
2019,2,5,20.83,8.75,14.8,19.66,18.11,29.77,11.66,7.08,49.94,0.0
2019,2,6,21.08,11.73,16.4,20.81,16.16,30.01,13.85,8.67,59.06,0.0
2019,2,7,22.05,13.18,17.61,22.38,15.9,31.12,15.22,9.46,62.44,0.0
2019,2,8,22.64,14.08,18.36,23.16,15.17,31.19,16.02,10.07,64.0,0.01
2019,2,9,22.31,16.12,19.21,22.5,13.59,29.72,16.13,11.47,71.62,0.58
2019,2,10,17.79,4.66,11.23,18.12,16.71,27.05,10.34,5.43,48.88,0.0
2019,2,11,17.97,4.08,11.02,17.19,18.11,26.98,8.87,5.13,43.38,0.0
2019,2,12,19.3,5.82,12.55,18.83,17.84,28.48,10.65,5.8,45.5,0.0
2019,2,13,20.07,8.19,14.12,20.23,17.44,29.63,12.19,6.84,51.38,0.0
2019,2,14,21.55,9.75,15.65,22.15,18.54,31.87,13.33,7.57,52.38,0.0
2019,2,15,22.98,11.39,17.18,23.66,17.57,33.0,15.43,8.42,53.31,0.0
2019,2,16,22.33,13.5,17.92,22.47,13.02,29.65,16.63,9.7,59.44,2.2
2019,2,17,23.24,13.22,18.23,23.4,13.54,30.66,17.12,9.52,57.19,0.14
2019,2,18,20.89,8.38,14.63,21.89,17.4,30.24,12.84,7.2,51.69,0.0
2019,2,19,23.5,12.3,17.9,24.61,18.88,33.77,14.89,9.28,59.81,0.0
2019,2,20,24.47,13.23,18.85,25.31,17.96,34.45,16.49,9.7,58.25,0.02
2019,2,21,25.32,15.0,20.15,26.33,17.16,34.87,17.72,10.93,62.19,0.02
2019,2,22,26.73,13.87,20.3,27.6,17.96,36.3,18.33,10.07,52.0,0.0
2019,2,23,27.71,15.68,21.69,28.72,15.8,36.31,20.5,11.29,53.31,0.33
2019,2,24,26.28,15.55,20.91,27.82,15.3,34.44,19.13,11.29,57.5,0.27
