-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  22.0523   Longitude 83.9096 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 295.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.99,3.71,9.35,13.57,16.27,23.05,6.77,5.07,49.31,0.0
2019,1,2,15.95,5.15,10.55,14.61,16.71,24.94,8.23,5.62,51.06,0.0
2019,1,3,16.6,5.19,10.9,14.94,15.23,24.77,9.55,5.62,49.06,0.0
2019,1,4,16.33,3.93,10.13,14.9,16.62,24.64,8.02,5.13,46.25,0.0
2019,1,5,16.3,5.29,10.79,15.12,15.44,23.7,8.26,5.68,50.25,0.0
2019,1,6,17.33,6.9,12.12,15.57,15.03,24.85,9.82,6.35,51.88,0.0
2019,1,7,18.07,7.74,12.9,16.08,12.84,25.27,12.44,6.71,52.38,0.0
2019,1,8,16.3,6.73,11.51,15.87,13.78,23.76,9.98,6.29,55.81,0.0
2019,1,9,16.55,6.84,11.69,15.73,14.52,24.03,9.51,6.35,55.69,0.0
2019,1,10,16.51,4.8,10.66,15.55,15.73,24.44,8.71,5.49,48.38,0.0
2019,1,11,16.33,5.75,11.04,15.3,14.66,23.27,8.62,5.86,51.69,0.0
2019,1,12,16.98,6.8,11.89,16.05,14.73,24.4,9.67,6.29,53.06,0.0
2019,1,13,18.05,8.31,13.18,16.63,13.03,25.05,12.01,6.96,54.38,0.0
2019,1,14,18.3,10.0,14.15,17.73,12.59,25.37,12.79,7.87,59.81,0.0
2019,1,15,17.21,4.89,11.05,16.47,14.37,24.7,10.33,5.55,46.88,0.0
2019,1,16,15.82,1.4,8.61,15.32,16.88,24.39,7.51,4.33,40.56,0.0
2019,1,17,16.98,2.55,9.76,15.74,16.12,25.33,9.22,4.7,40.5,0.0
2019,1,18,17.39,2.98,10.19,16.12,17.35,26.34,8.99,4.88,40.88,0.0
2019,1,19,17.41,2.56,9.98,16.56,17.93,26.56,8.63,4.7,40.44,0.0
2019,1,20,18.4,2.99,10.69,17.19,17.94,27.43,9.48,4.82,38.62,0.0
2019,1,21,19.52,5.15,12.33,18.35,17.54,28.81,11.26,5.62,41.94,0.0
2019,1,22,19.34,7.01,13.17,18.13,16.68,27.65,10.97,6.41,46.94,0.0
2019,1,23,19.3,11.03,15.16,18.9,15.86,27.66,11.8,8.42,63.31,0.0
2019,1,24,20.26,10.98,15.62,19.62,15.55,28.13,12.58,8.36,60.19,1.47
2019,1,25,19.58,10.43,15.0,19.45,14.71,27.29,12.58,8.06,58.94,2.59
2019,1,26,17.47,11.48,14.48,17.5,6.45,21.26,14.8,8.61,68.62,2.86
2019,1,27,16.48,12.49,14.48,16.95,7.43,21.09,13.66,9.22,77.94,1.48
2019,1,28,17.42,10.87,14.14,17.9,11.01,23.82,12.81,8.36,68.44,0.0
2019,1,29,15.23,1.43,8.33,15.73,15.38,24.01,8.63,4.33,41.88,0.0
2019,1,30,15.62,-0.97,7.33,14.98,17.52,23.92,6.39,3.6,35.38,0.0
2019,1,31,17.07,0.57,8.82,16.09,17.52,25.06,7.55,4.03,35.38,0.0
2019,2,1,18.03,3.08,10.55,17.1,16.35,26.17,9.82,4.88,39.06,0.0
2019,2,2,19.92,4.01,11.96,18.81,17.92,28.99,11.07,5.19,37.5,0.0
2019,2,3,20.14,6.51,13.33,19.69,15.88,28.44,12.55,6.16,43.56,0.0
2019,2,4,20.58,6.73,13.65,20.06,16.23,28.76,12.54,6.23,43.5,0.0
2019,2,5,20.55,8.15,14.35,20.44,15.98,28.93,12.95,6.96,46.94,0.0
2019,2,6,21.44,9.55,15.49,21.37,14.89,29.32,14.43,7.63,49.25,0.0
2019,2,7,22.56,9.85,16.21,21.58,13.51,29.25,15.74,7.75,46.0,0.0
2019,2,8,21.58,13.55,17.56,22.32,13.09,29.33,16.23,9.95,62.69,4.1
2019,2,9,18.7,6.74,12.73,19.24,13.88,26.24,12.36,6.9,55.19,0.25
2019,2,10,17.66,-0.49,8.58,17.4,17.55,25.99,8.44,3.78,32.19,0.0
2019,2,11,18.19,1.01,9.6,17.82,17.73,26.43,8.7,4.21,34.38,0.0
2019,2,12,19.97,2.18,11.07,19.26,18.45,28.44,9.98,4.58,33.81,0.0
2019,2,13,21.25,4.25,12.75,20.77,18.37,30.1,11.73,5.31,36.06,0.0
2019,2,14,22.94,5.87,14.4,22.11,17.37,31.7,14.34,5.98,35.38,0.0
2019,2,15,23.12,9.05,16.08,22.56,16.7,30.98,14.28,7.39,43.0,0.12
2019,2,16,21.78,14.54,18.16,22.31,11.52,27.88,16.36,10.62,65.38,8.6
2019,2,17,20.37,7.41,13.9,21.05,14.52,28.3,13.78,6.71,46.81,0.0
2019,2,18,20.18,3.37,11.77,20.42,18.01,29.05,11.05,5.0,36.44,0.0
2019,2,19,24.16,6.01,15.08,22.73,15.8,31.99,16.19,6.04,32.62,0.0
2019,2,20,25.19,8.57,16.88,24.42,17.28,33.34,16.06,7.14,37.06,0.0
2019,2,21,25.6,10.89,18.24,25.5,17.02,33.67,16.65,8.3,42.5,0.0
2019,2,22,26.55,13.03,19.8,26.44,15.02,34.38,19.37,9.64,45.19,0.0
2019,2,23,26.58,13.13,19.86,27.19,14.15,34.46,20.31,9.7,45.62,0.0
2019,2,24,25.88,11.91,18.9,26.69,15.8,33.72,17.91,9.03,43.75,0.35
2019,2,25,25.53,12.75,19.14,25.98,14.13,32.82,18.69,9.52,47.62,2.79
2019,2,26,24.37,11.52,17.95,24.95,13.31,31.25,17.94,8.97,49.5,1.41
2019,2,27,23.9,12.11,18.0,24.4,12.54,30.59,18.05,9.4,54.38,1.68
2019,2,28,21.85,10.71,16.28,23.29,13.3,29.25,15.95,8.3,52.12,0.01
2019,3,1,21.15,6.37,13.76,22.52,15.34,28.69,13.36,6.16,40.69,0.0
2019,3,2,22.08,6.45,14.26,23.05,16.3,29.92,13.62,6.29,38.44,0.0
2019,3,3,23.86,12.05,17.96,24.51,15.38,30.87,15.49,9.09,50.0,0.12
2019,3,4,25.39,15.56,20.48,26.13,12.55,32.12,19.57,11.41,56.38,1.23
2019,3,5,25.27,13.26,19.27,26.32,12.4,32.03,19.63,9.83,49.06,0.01
2019,3,6,24.83,11.3,18.07,26.23,13.27,32.01,18.73,8.67,45.81,0.0
2019,3,7,23.42,6.83,15.12,24.48,15.35,30.97,15.62,6.41,36.5,0.0
2019,3,8,23.7,5.33,14.52,24.26,16.45,31.54,15.08,5.74,33.0,0.0
2019,3,9,24.55,6.52,15.54,25.32,17.8,33.15,15.34,6.29,33.94,0.0
2019,3,10,26.3,10.71,18.5,26.47,16.68,34.48,17.8,8.3,40.81,0.0
2019,3,11,27.12,9.33,18.23,27.69,17.91,35.71,17.8,7.57,35.12,0.0
2019,3,12,28.58,11.05,19.82,28.63,16.67,36.24,19.58,8.42,36.0,0.0
2019,3,13,29.77,11.03,20.4,29.73,15.82,37.27,21.45,8.48,33.19,0.0
2019,3,14,29.88,12.94,21.41,31.01,13.84,36.66,22.83,9.64,37.0,0.59
2019,3,15,29.06,16.6,22.83,30.8,12.28,35.4,23.12,12.15,49.12,2.11
2019,3,16,27.31,17.15,22.23,28.43,12.46,34.1,21.64,12.57,57.19,7.65
2019,3,17,27.85,14.13,20.99,28.92,15.03,35.3,20.26,10.31,45.5,0.08
2019,3,18,25.96,16.25,21.11,26.39,12.08,31.85,19.77,11.84,57.44,13.01
2019,3,19,26.2,13.98,20.09,27.08,12.56,32.31,19.75,10.31,50.0,0.13
2019,3,20,26.74,9.27,18.01,27.83,16.68,34.73,18.05,7.63,36.25,0.24
2019,3,21,27.83,14.88,21.36,28.48,13.91,34.95,21.04,10.86,47.62,1.99
2019,3,22,28.37,16.16,22.26,28.55,10.09,33.83,23.73,11.78,48.69,2.45
2019,3,23,27.26,10.08,18.67,28.26,16.28,35.83,19.55,7.93,36.94,0.0
2019,3,24,27.65,5.69,16.67,28.13,17.9,36.52,18.62,5.98,27.31,0.0
2019,3,25,27.98,8.19,18.09,29.07,17.96,37.07,19.11,7.02,31.38,0.0
2019,3,26,29.62,9.91,19.76,29.48,14.96,37.04,22.07,7.87,31.38,0.0
2019,3,27,27.44,8.6,18.02,28.44,15.68,35.95,20.27,7.57,36.94,0.0
2019,3,28,27.65,6.31,16.98,28.3,18.02,36.46,18.44,6.16,29.0,0.0
2019,3,29,28.8,8.55,18.68,29.64,18.49,38.19,19.7,7.2,30.38,0.0
2019,3,30,29.94,10.06,20.0,30.89,17.98,38.83,20.85,7.93,32.19,0.0
2019,3,31,31.48,9.88,20.68,31.22,17.04,39.99,22.95,7.87,28.38,0.0
2019,4,1,31.49,9.01,20.26,32.31,15.59,39.94,24.34,7.45,27.0,0.19
2019,4,2,30.62,2.44,16.53,31.33,17.64,39.57,21.94,4.76,18.06,0.0
2019,4,3,30.62,2.96,16.8,31.15,18.2,39.8,21.61,4.94,18.69,0.0
2019,4,4,31.88,6.92,19.4,31.87,17.09,40.4,23.3,6.47,22.38,0.0
2019,4,5,32.5,9.25,20.87,32.98,17.05,40.97,23.91,7.63,25.62,0.0
2019,4,6,32.51,8.48,20.5,33.34,17.33,41.29,23.96,7.14,24.69,0.0
2019,4,7,32.95,8.84,20.9,33.74,16.46,40.86,24.39,7.32,24.38,0.29
2019,4,8,32.11,9.01,20.55,32.91,16.17,40.15,23.98,7.45,25.81,0.04
2019,4,9,32.4,9.54,20.97,33.65,16.72,40.36,23.64,7.69,26.44,0.59
2019,4,10,32.77,8.09,20.43,33.76,17.02,41.44,24.42,7.02,24.44,0.54
2019,4,11,33.38,9.58,21.48,34.93,17.05,41.73,24.68,7.69,25.0,0.0
2019,4,12,32.2,11.8,22.0,33.23,14.22,39.9,25.68,8.91,30.19,0.15
2019,4,13,33.64,11.53,22.58,34.87,15.88,41.66,25.79,8.79,28.75,0.17
2019,4,14,34.63,9.33,21.98,35.78,15.47,42.4,26.94,7.57,22.62,0.06
2019,4,15,34.7,8.84,21.77,35.72,14.96,42.72,27.76,7.32,22.06,0.0
2019,4,16,33.71,10.33,22.02,34.9,13.43,40.61,27.18,8.06,25.12,0.06
2019,4,17,33.26,11.36,22.31,34.9,14.39,40.3,25.9,8.67,27.94,0.65
2019,4,18,32.18,14.74,23.46,34.83,14.33,39.22,24.89,10.86,38.06,1.03
2019,4,19,32.32,13.99,23.15,34.52,12.3,38.26,25.96,10.31,34.62,0.95
2019,4,20,32.4,14.65,23.52,34.12,12.55,38.48,25.94,10.86,37.0,0.62
2019,4,21,33.37,12.35,22.86,34.35,12.21,39.62,27.4,9.28,29.12,0.61
2019,4,22,31.77,11.54,21.65,33.01,14.88,38.79,23.9,9.09,33.75,4.49
2019,4,23,31.83,11.17,21.5,33.35,15.27,39.76,24.5,8.67,31.44,0.94
2019,4,24,32.17,13.5,22.83,34.42,17.32,40.3,22.99,10.25,38.44,0.02
2019,4,25,33.98,13.27,23.62,35.65,18.05,42.72,24.66,9.95,32.38,0.0
2019,4,26,34.7,14.76,24.73,36.96,16.61,42.72,26.11,11.05,34.06,0.0
2019,4,27,36.43,9.43,22.93,38.01,15.7,44.51,28.8,7.69,21.06,0.0
2019,4,28,36.68,5.8,21.24,37.54,15.82,44.13,28.31,5.98,15.81,0.0
2019,4,29,35.19,8.54,21.87,37.04,17.49,43.68,26.19,7.39,22.06,0.0
