-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  22.9731   Longitude 86.8547 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.14,5.73,9.94,12.55,15.48,22.3,6.82,5.74,59.5,0.0
2019,1,2,15.02,5.93,10.48,12.87,15.43,22.58,7.15,5.8,57.06,0.0
2019,1,3,15.3,5.96,10.62,12.91,15.72,23.38,7.66,5.8,56.0,0.0
2019,1,4,14.9,6.55,10.73,13.02,15.85,23.01,7.16,6.04,59.69,0.0
2019,1,5,15.32,7.08,11.2,13.23,15.02,22.61,7.59,6.29,60.0,0.0
2019,1,6,16.79,8.15,12.47,14.48,15.52,24.02,8.51,6.77,58.44,0.0
2019,1,7,17.19,8.9,13.05,15.19,16.22,25.23,9.01,7.14,60.5,0.0
2019,1,8,16.32,10.03,13.18,15.44,13.45,23.8,10.36,7.75,68.19,0.0
2019,1,9,16.87,9.81,13.33,15.37,13.54,23.73,10.19,7.57,65.5,0.0
2019,1,10,16.12,7.58,11.84,14.35,14.12,23.23,9.11,6.53,59.44,0.0
2019,1,11,15.75,6.48,11.12,13.6,14.73,22.51,7.78,6.04,56.12,0.0
2019,1,12,16.36,7.65,12.0,14.31,14.48,23.51,9.03,6.53,58.44,0.0
2019,1,13,17.01,9.12,13.07,15.35,15.25,24.61,9.35,7.26,62.31,0.0
2019,1,14,17.75,10.5,14.12,16.27,13.24,24.62,11.38,7.93,64.81,0.0
2019,1,15,16.19,7.38,11.78,14.94,13.52,23.37,9.85,6.47,58.88,0.0
2019,1,16,15.2,3.2,9.2,13.2,15.92,22.51,6.58,4.82,47.75,0.0
2019,1,17,16.17,4.84,10.51,13.93,15.91,23.73,7.82,5.43,49.62,0.0
2019,1,18,16.5,5.14,10.82,14.28,16.05,24.51,8.46,5.55,49.88,0.0
2019,1,19,16.4,5.24,10.82,14.15,16.5,24.29,7.79,5.55,51.06,0.0
2019,1,20,17.05,6.22,11.63,14.84,15.21,24.26,9.05,5.92,51.44,0.0
2019,1,21,17.39,8.21,12.8,15.66,15.58,25.51,9.93,6.84,57.31,0.0
2019,1,22,17.62,10.15,13.89,16.81,16.6,27.01,10.41,7.81,64.88,0.0
