-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  23.8402   Longitude 87.6186 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 93.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,15.15,4.54,9.84,14.21,16.05,23.98,7.93,5.25,51.81,0.0
2019,1,2,15.19,4.79,9.99,14.34,16.22,24.16,7.94,5.37,52.38,0.0
2019,1,3,14.81,4.31,9.56,13.71,15.99,24.11,8.12,5.19,52.38,0.0
2019,1,4,15.31,5.18,10.25,14.05,16.22,24.26,8.05,5.49,53.5,0.0
2019,1,5,16.19,6.12,11.15,14.8,15.62,24.14,8.52,5.86,53.69,0.0
2019,1,6,17.74,8.3,13.01,16.48,16.23,25.83,9.6,6.84,57.31,0.0
2019,1,7,17.83,9.02,13.43,16.9,16.98,26.8,9.82,7.2,59.44,0.0
2019,1,8,17.2,9.01,13.1,16.85,13.69,25.19,11.5,7.2,60.56,0.0
2019,1,9,17.23,8.48,12.86,16.92,13.92,25.44,11.52,6.9,59.62,0.0
2019,1,10,16.25,4.76,10.51,15.3,14.77,24.23,9.48,5.37,49.62,0.0
2019,1,11,15.84,4.98,10.41,14.83,14.91,23.94,9.03,5.43,51.06,0.0
2019,1,12,16.34,4.92,10.63,15.15,15.94,24.86,8.92,5.43,49.56,0.0
2019,1,13,17.4,5.36,11.38,16.06,17.02,26.39,9.37,5.62,47.81,0.0
2019,1,14,17.62,7.09,12.36,16.62,14.32,25.78,11.46,6.35,52.62,0.0
2019,1,15,16.23,4.65,10.44,15.91,14.54,24.97,10.43,5.37,50.25,0.0
2019,1,16,15.05,1.08,8.07,14.48,17.05,24.02,6.97,4.15,42.0,0.0
2019,1,17,15.79,2.84,9.32,15.27,16.89,25.13,8.24,4.7,45.31,0.0
2019,1,18,16.02,2.28,9.15,15.2,17.02,25.41,8.4,4.52,43.12,0.0
2019,1,19,15.94,4.69,10.32,15.3,16.91,25.34,8.44,5.37,50.0,0.0
2019,1,20,17.18,5.45,11.32,16.33,15.72,25.53,9.8,5.62,49.06,0.0
2019,1,21,18.76,6.44,12.6,16.9,15.9,26.52,10.62,5.98,47.06,0.0
2019,1,22,19.48,7.9,13.69,17.8,14.18,27.62,13.44,6.65,49.19,0.0
2019,1,23,19.75,9.34,14.55,18.77,15.69,28.19,12.5,7.32,54.38,0.04
2019,1,24,21.78,10.06,15.92,20.01,13.89,29.33,15.44,7.69,49.31,1.12
2019,1,25,21.3,10.64,15.97,19.63,12.81,27.9,15.08,8.0,52.31,0.0
2019,1,26,19.58,11.87,15.72,19.52,13.91,27.27,13.36,8.67,63.81,0.0
2019,1,27,19.48,12.05,15.76,19.92,12.57,26.75,14.17,8.73,64.94,0.0
2019,1,28,19.17,8.91,14.04,19.53,12.35,26.77,14.42,7.14,53.62,0.0
2019,1,29,16.9,1.43,9.17,17.17,14.19,25.44,11.25,4.27,37.69,0.0
2019,1,30,16.02,-0.53,7.75,15.52,17.87,25.17,7.3,3.66,36.06,0.0
2019,1,31,17.68,1.76,9.72,16.51,17.69,26.12,8.43,4.33,37.12,0.0
2019,2,1,19.12,6.27,12.7,17.72,16.93,27.21,10.28,5.98,46.81,0.0
2019,2,2,19.37,3.87,11.62,18.24,17.8,28.72,10.91,5.07,39.44,0.0
2019,2,3,20.13,5.52,12.83,19.32,17.14,29.11,11.96,5.68,41.19,0.0
2019,2,4,19.03,5.18,12.11,18.89,17.52,28.8,11.28,5.49,43.81,0.0
2019,2,5,19.58,4.15,11.87,18.72,17.81,29.37,11.55,5.13,38.81,0.0
2019,2,6,21.24,5.65,13.44,19.98,17.02,29.48,12.47,5.74,38.69,0.0
2019,2,7,22.28,10.85,16.57,21.88,14.61,30.37,15.76,8.24,50.62,0.0
2019,2,8,22.87,13.4,18.13,23.13,12.46,29.9,17.44,9.64,58.12,1.06
2019,2,9,20.08,15.72,17.9,20.57,12.59,26.11,13.52,11.11,77.44,8.38
2019,2,10,16.78,3.65,10.22,17.17,17.81,26.23,8.42,5.13,48.25,0.0
2019,2,11,18.05,4.14,11.1,17.65,16.98,26.69,9.7,5.13,42.94,0.0
2019,2,12,18.96,6.3,12.63,19.15,16.59,27.66,11.07,5.98,46.75,0.0
2019,2,13,20.3,5.4,12.85,20.25,17.06,29.23,12.15,5.62,41.06,0.0
2019,2,14,22.05,6.24,14.15,21.59,18.6,31.58,12.98,5.98,39.69,0.0
2019,2,15,23.01,8.27,15.65,22.8,16.9,32.11,15.21,6.84,42.44,0.0
2019,2,16,21.37,12.22,16.8,21.41,12.61,28.02,15.41,8.91,57.44,2.57
2019,2,17,20.45,7.65,14.05,20.86,13.32,28.1,14.79,6.77,49.19,0.0
2019,2,18,19.74,4.89,12.32,19.12,16.17,27.83,11.65,5.43,41.44,0.0
2019,2,19,22.78,8.01,15.4,22.45,17.34,32.29,14.95,6.77,42.56,0.0
2019,2,20,23.86,9.05,16.45,23.65,17.75,33.36,15.61,7.2,43.44,0.0
2019,2,21,24.65,8.56,16.61,24.1,16.55,33.94,17.39,6.96,38.56,0.0
2019,2,22,26.03,10.95,18.49,25.85,17.51,35.41,17.9,8.3,41.69,0.0
2019,2,23,26.08,12.62,19.36,26.73,15.28,34.49,19.21,9.22,46.94,0.0
2019,2,24,24.8,6.89,15.84,25.37,18.41,33.94,15.52,6.47,36.38,0.31
2019,2,25,23.76,10.49,17.12,24.37,13.12,30.71,17.59,8.12,46.0,6.3
2019,2,26,22.07,17.48,19.77,22.63,9.64,28.11,18.47,12.51,77.12,8.56
2019,2,27,22.4,18.17,20.29,23.04,12.44,29.12,16.69,13.12,79.31,6.67
2019,2,28,20.58,14.87,17.73,20.77,9.32,24.98,15.65,10.8,72.19,6.52
2019,3,1,19.26,4.97,12.12,19.51,16.78,27.75,10.97,5.49,43.56,0.0
2019,3,2,20.94,2.37,11.65,20.21,16.85,29.2,12.35,4.58,32.25,0.0
2019,3,3,21.32,7.47,14.4,21.4,14.84,29.38,14.54,6.71,45.38,0.36
2019,3,4,22.81,15.12,18.97,23.71,12.91,29.65,16.73,10.93,65.0,1.85
2019,3,5,24.19,17.19,20.69,24.63,10.81,30.34,19.53,12.51,69.12,3.49
2019,3,6,24.37,12.14,18.26,25.01,13.48,31.27,17.8,9.03,51.0,0.0
2019,3,7,22.84,7.32,15.08,23.48,15.66,30.87,15.23,6.53,39.81,0.0
2019,3,8,21.98,5.37,13.68,22.48,17.24,31.02,13.78,5.68,38.0,0.0
2019,3,9,23.18,5.98,14.58,23.4,18.82,33.01,14.19,5.98,36.75,0.0
2019,3,10,24.69,11.94,18.32,25.72,17.42,33.66,16.24,8.85,49.62,0.0
2019,3,11,25.71,12.74,19.23,26.24,16.27,34.33,18.07,9.4,51.06,1.07
2019,3,12,27.12,9.99,18.55,27.24,18.68,36.8,18.12,7.81,38.69,0.0
2019,3,13,28.03,12.09,20.06,28.19,17.8,37.52,19.71,9.28,45.94,0.0
2019,3,14,28.33,10.8,19.56,29.48,17.91,37.66,19.74,8.24,37.81,0.17
2019,3,15,27.45,15.14,21.3,28.12,12.56,34.97,22.4,10.86,50.06,1.72
2019,3,16,28.15,14.97,21.56,29.06,14.07,36.36,22.3,10.8,49.0,0.75
2019,3,17,27.8,10.51,19.15,28.76,17.11,36.44,19.33,8.18,37.44,0.0
2019,3,18,26.11,12.21,19.16,27.16,13.23,33.73,20.51,9.03,44.12,0.68
