-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  23.6859   Longitude 86.9749 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 143.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.15,5.23,9.69,12.73,15.49,22.47,6.97,5.55,57.56,0.0
2019,1,2,14.89,5.51,10.2,13.06,15.45,22.87,7.43,5.68,55.88,0.0
2019,1,3,14.62,5.58,10.09,12.92,15.73,23.33,7.6,5.68,57.12,0.0
2019,1,4,14.92,6.18,10.55,13.24,15.87,23.35,7.48,5.92,58.25,0.0
2019,1,5,15.49,6.54,11.01,13.48,14.76,22.73,7.98,6.1,57.38,0.0
2019,1,6,17.19,7.79,12.48,14.94,15.22,24.38,9.16,6.65,55.75,0.0
2019,1,7,17.24,8.8,13.02,15.62,16.1,25.6,9.49,7.14,59.81,0.0
2019,1,8,16.08,9.65,12.87,15.56,13.16,23.87,10.7,7.57,67.44,0.0
2019,1,9,16.8,9.21,13.01,15.62,13.41,23.99,10.58,7.32,63.38,0.0
2019,1,10,15.9,5.84,10.87,14.3,14.53,23.28,8.76,5.8,54.19,0.0
2019,1,11,15.94,5.65,10.8,13.83,14.16,22.76,8.59,5.74,52.5,0.0
2019,1,12,16.59,6.09,11.34,14.42,14.64,23.69,9.05,5.92,52.06,0.0
2019,1,13,17.69,7.48,12.58,15.51,15.39,25.12,9.73,6.53,53.31,0.0
2019,1,14,17.56,9.39,13.48,16.33,13.56,24.97,11.4,7.39,61.19,0.0
2019,1,15,15.87,6.03,10.95,15.03,13.62,23.54,9.92,5.86,55.38,0.0
2019,1,16,14.91,2.83,8.87,13.36,16.12,22.68,6.55,4.7,46.88,0.0
2019,1,17,16.04,4.0,10.02,14.19,15.88,23.88,8.01,5.13,47.56,0.0
2019,1,18,15.99,3.73,9.87,14.28,16.56,24.62,8.05,5.07,46.94,0.0
2019,1,19,15.83,5.11,10.47,14.26,16.57,24.37,7.8,5.49,51.81,0.0
2019,1,20,16.98,5.79,11.38,15.25,15.23,24.55,9.32,5.8,50.5,0.0
2019,1,21,18.16,7.2,12.69,16.01,15.28,25.76,10.48,6.35,51.19,0.0
2019,1,22,18.21,9.15,13.68,17.12,15.52,27.26,11.74,7.32,58.25,0.0
2019,1,23,18.62,10.62,14.62,18.23,15.38,27.51,12.12,8.06,62.69,0.0
2019,1,24,20.07,11.53,15.8,19.2,14.16,28.28,14.12,8.54,60.75,0.09
2019,1,25,19.97,11.35,15.65,18.58,12.91,26.87,13.95,8.42,59.69,0.0
2019,1,26,18.69,12.13,15.4,18.05,12.21,25.07,12.85,8.85,67.31,0.01
2019,1,27,18.85,12.78,15.82,19.08,11.91,25.64,13.73,9.22,70.06,0.0
2019,1,28,18.35,10.2,14.27,18.62,11.18,25.23,14.05,7.81,61.0,0.0
2019,1,29,16.05,3.59,9.83,16.2,14.11,24.48,10.37,5.0,45.81,0.0
2019,1,30,15.07,0.57,7.82,14.29,17.73,24.11,6.37,4.03,41.19,0.0
2019,1,31,17.12,1.76,9.44,15.3,16.78,24.98,8.2,4.33,38.62,0.0
2019,2,1,18.48,3.46,10.98,16.48,16.55,26.46,9.9,4.88,39.31,0.0
2019,2,2,18.98,4.8,11.89,17.42,16.91,27.77,10.87,5.43,42.56,0.0
2019,2,3,20.26,6.32,13.29,18.49,16.29,27.93,11.63,5.98,42.5,0.0
2019,2,4,18.62,6.97,12.8,18.25,16.92,27.97,11.05,6.29,49.94,0.0
2019,2,5,19.15,6.11,12.63,18.19,17.38,28.68,11.3,5.92,45.12,0.0
2019,2,6,21.09,9.16,15.12,19.9,15.55,28.76,13.21,7.32,48.81,0.0
2019,2,7,21.55,12.64,17.09,21.28,14.84,29.55,14.7,9.22,59.31,0.0
2019,2,8,21.83,13.58,17.7,22.23,12.82,29.14,16.32,9.77,62.19,0.1
2019,2,9,20.3,14.28,17.29,20.58,13.65,27.09,13.44,10.31,70.81,3.91
2019,2,10,16.43,3.13,9.78,16.55,17.45,25.55,8.11,4.82,45.62,0.0
