-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  23.5204   Longitude 87.3119 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.71,6.14,10.43,13.59,15.82,23.37,7.55,5.86,58.94,0.0
2019,1,2,14.99,6.32,10.65,13.75,16.02,23.62,7.61,5.92,58.31,0.0
2019,1,3,14.87,5.9,10.39,13.26,15.76,23.6,7.84,5.74,57.38,0.0
2019,1,4,15.1,6.37,10.73,13.5,16.17,23.69,7.53,5.92,58.56,0.0
2019,1,5,15.8,7.08,11.44,14.05,15.42,23.63,8.21,6.23,58.31,0.0
2019,1,6,17.33,9.08,13.21,15.69,15.82,25.08,9.26,7.2,60.69,0.0
2019,1,7,17.71,9.52,13.62,16.11,16.45,25.98,9.53,7.45,61.06,0.0
2019,1,8,16.84,10.15,13.5,16.19,13.77,24.65,10.87,7.75,66.69,0.0
2019,1,9,17.31,10.01,13.65,16.26,13.58,24.76,11.19,7.63,64.5,0.0
2019,1,10,16.3,6.7,11.5,14.87,14.49,23.85,9.36,6.1,55.94,0.0
2019,1,11,15.68,6.23,10.95,14.13,14.79,23.33,8.53,5.92,55.62,0.0
2019,1,12,16.32,6.4,11.37,14.62,15.77,24.35,8.58,5.98,54.44,0.0
2019,1,13,17.17,7.14,12.15,15.49,16.31,25.45,9.13,6.29,54.25,0.0
2019,1,14,17.65,9.15,13.4,16.4,14.03,25.23,11.19,7.2,60.25,0.0
2019,1,15,16.3,6.87,11.58,15.54,14.12,24.4,10.29,6.16,57.06,0.0
2019,1,16,14.84,3.24,9.04,13.93,16.5,23.36,6.86,4.82,49.0,0.0
2019,1,17,15.72,4.77,10.24,14.58,16.62,24.51,7.9,5.37,51.31,0.0
2019,1,18,16.26,3.98,10.12,14.58,16.76,24.88,8.12,5.07,47.31,0.0
2019,1,19,15.93,5.71,10.82,14.69,16.89,24.89,8.0,5.74,53.62,0.0
2019,1,20,17.01,6.65,11.83,15.56,15.45,24.81,9.36,6.1,53.38,0.0
2019,1,21,18.28,7.62,12.95,16.29,15.62,25.97,10.35,6.53,52.44,0.0
2019,1,22,18.85,9.19,14.02,17.19,15.09,26.98,11.89,7.26,55.69,0.0
2019,1,23,19.52,10.33,14.93,18.07,15.22,27.51,12.29,7.81,58.19,0.0
2019,1,24,21.21,10.9,16.05,19.35,14.96,28.9,13.94,8.12,54.25,0.24
2019,1,25,21.1,11.04,16.07,18.99,13.6,27.58,13.98,8.18,54.38,0.0
2019,1,26,19.48,12.44,15.96,19.37,14.16,27.24,13.08,8.97,66.12,0.0
2019,1,27,19.33,12.93,16.12,19.6,12.3,26.33,14.02,9.22,69.06,0.0
2019,1,28,19.2,10.92,15.06,19.38,11.92,26.39,14.47,8.12,60.94,0.0
2019,1,29,16.8,4.41,10.6,16.87,14.06,25.08,11.02,5.25,46.56,0.0
2019,1,30,15.83,0.82,8.33,14.73,17.77,24.39,6.62,4.03,40.25,0.0
2019,1,31,17.2,3.05,10.12,15.76,17.49,25.51,8.01,4.7,41.56,0.0
2019,2,1,18.85,6.07,12.46,17.13,17.12,26.95,9.83,5.86,46.0,0.0
2019,2,2,19.14,5.27,12.21,17.69,17.63,28.03,10.4,5.55,43.81,0.0
2019,2,3,20.11,6.87,13.49,18.61,17.02,28.41,11.39,6.16,44.69,0.0
2019,2,4,19.05,7.26,13.15,18.44,17.16,28.2,11.05,6.35,49.69,0.0
2019,2,5,19.24,6.33,12.79,18.26,17.69,28.87,11.18,5.98,45.5,0.0
2019,2,6,21.19,7.82,14.51,19.6,16.43,28.84,12.41,6.65,44.5,0.0
2019,2,7,21.55,12.83,17.19,21.26,15.04,29.49,14.44,9.28,60.12,0.0
2019,2,8,22.01,14.13,18.07,22.25,12.58,29.09,16.51,10.07,63.88,0.22
2019,2,9,20.54,15.8,18.17,20.92,12.41,26.73,14.32,11.17,75.81,4.18
2019,2,10,17.05,4.61,10.83,17.05,17.3,25.85,8.56,5.49,50.75,0.0
