-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  23.1745   Longitude 88.1034 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 15.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,15.15,6.48,10.81,14.73,16.8,24.67,7.87,5.98,59.12,0.0
2019,1,2,15.62,6.73,11.18,15.2,16.74,25.03,8.29,6.1,57.81,0.0
2019,1,3,15.67,5.86,10.76,14.38,16.15,24.65,8.51,5.74,54.56,0.0
2019,1,4,15.26,5.91,10.58,14.18,16.7,24.33,7.64,5.74,56.5,0.0
2019,1,5,15.88,6.83,11.36,15.04,16.45,24.9,8.45,6.1,57.44,0.0
2019,1,6,17.55,8.99,13.27,16.95,16.7,26.52,9.81,7.08,60.0,0.0
2019,1,7,18.21,9.06,13.64,17.21,17.0,27.02,10.02,7.14,58.12,0.0
2019,1,8,17.85,9.93,13.89,17.53,14.91,26.26,11.34,7.57,62.31,0.0
2019,1,9,17.9,9.98,13.94,17.43,14.45,25.87,11.42,7.57,62.38,0.0
2019,1,10,17.05,7.58,12.31,16.36,14.77,24.96,10.19,6.47,56.31,0.0
2019,1,11,16.12,5.69,10.9,15.34,15.3,24.38,9.08,5.68,52.62,0.0
2019,1,12,16.46,6.35,11.4,15.59,16.38,25.27,8.9,5.92,53.94,0.0
2019,1,13,17.13,6.71,11.92,16.47,16.89,26.33,9.44,6.04,53.12,0.0
2019,1,14,18.08,8.94,13.51,17.22,15.28,26.06,10.78,7.08,58.44,0.0
2019,1,15,17.22,7.0,12.11,16.66,14.27,25.47,11.2,6.16,53.88,0.0
2019,1,16,15.49,2.91,9.2,15.4,17.11,24.94,7.83,4.64,46.69,0.0
2019,1,17,16.07,4.22,10.14,15.7,17.48,25.54,8.07,5.13,48.5,0.0
2019,1,18,16.87,4.12,10.5,15.83,17.11,25.84,8.74,5.07,46.56,0.0
2019,1,19,16.58,4.55,10.57,15.9,17.47,26.09,8.62,5.25,48.25,0.0
2019,1,20,17.48,6.13,11.8,16.56,16.15,25.87,9.72,5.8,50.0,0.0
2019,1,21,18.82,7.11,12.96,17.44,16.48,27.07,10.58,6.23,49.06,0.0
2019,1,22,20.19,8.19,14.19,18.27,16.78,28.36,11.58,6.71,48.88,0.0
2019,1,23,21.16,8.34,14.75,19.23,16.54,29.6,13.06,6.77,47.62,0.0
2019,1,24,21.62,9.17,15.39,20.34,17.05,30.19,13.15,7.2,48.12,0.0
2019,1,25,21.58,10.33,15.96,20.4,15.66,29.21,13.55,7.75,51.38,0.0
2019,1,26,21.15,11.57,16.36,21.63,16.02,29.93,13.9,8.42,57.62,0.0
2019,1,27,20.48,12.73,16.6,21.16,13.09,27.6,14.51,9.03,64.0,0.0
2019,1,28,21.23,11.57,16.4,21.88,12.34,28.01,15.67,8.42,56.19,0.0
2019,1,29,18.57,5.71,12.14,19.01,13.48,26.09,12.62,5.68,45.38,0.0
2019,1,30,16.54,-0.13,8.2,15.98,17.99,25.35,7.36,3.78,36.56,0.0
2019,1,31,17.79,2.48,10.13,17.06,17.88,26.78,8.9,4.52,38.06,0.0
2019,2,1,18.93,6.08,12.51,18.89,17.95,28.5,10.55,5.8,45.69,0.0
2019,2,2,19.65,5.07,12.36,19.07,18.35,28.88,10.53,5.43,42.06,0.0
2019,2,3,20.28,5.97,13.12,19.58,17.98,29.48,11.48,5.8,42.06,0.0
2019,2,4,20.5,6.65,13.58,19.82,16.8,29.11,12.3,6.04,43.44,0.0
2019,2,5,20.16,5.86,13.01,19.55,17.84,29.48,11.63,5.74,42.06,0.0
2019,2,6,21.33,6.48,13.9,20.17,17.03,29.38,12.35,6.04,40.12,0.0
2019,2,7,22.58,11.8,17.19,22.45,16.67,30.86,14.18,8.61,54.56,0.0
2019,2,8,22.98,13.37,18.17,23.7,15.28,30.9,15.62,9.52,59.75,0.0
2019,2,9,22.3,15.26,18.78,22.99,10.9,28.79,17.9,10.74,66.81,1.13
2019,2,10,18.68,4.67,11.68,19.08,15.8,27.13,11.33,5.74,50.06,0.01
2019,2,11,18.58,3.13,10.86,18.31,17.71,27.55,9.84,4.7,38.56,0.0
2019,2,12,19.7,5.44,12.57,19.93,17.78,28.94,11.16,5.55,42.06,0.0
2019,2,13,20.83,5.73,13.28,20.84,17.41,29.69,12.26,5.68,40.56,0.0
2019,2,14,22.37,7.32,14.84,22.52,18.77,31.95,13.19,6.35,41.62,0.0
2019,2,15,23.73,8.83,16.28,23.62,18.18,32.75,14.57,7.02,42.5,0.0
2019,2,16,22.06,11.41,16.74,22.01,12.45,28.75,16.3,8.36,52.06,1.51
2019,2,17,22.03,10.85,16.44,22.48,12.11,29.33,17.23,8.24,53.56,0.01
2019,2,18,20.99,5.33,13.15,20.98,17.23,29.5,12.27,5.55,39.12,0.0
2019,2,19,23.07,11.76,17.41,23.63,17.45,32.68,15.23,8.73,56.19,0.0
2019,2,20,24.83,12.86,18.84,24.98,17.7,33.95,16.26,9.4,54.75,0.0
2019,2,21,25.82,10.85,18.33,25.3,16.09,34.06,17.98,8.18,43.62,0.0
2019,2,22,25.98,13.16,19.57,26.69,17.95,35.18,17.23,9.46,51.0,0.0
2019,2,23,27.36,15.59,21.48,28.23,15.1,35.43,20.33,11.23,54.88,0.07
2019,2,24,26.38,11.65,19.01,27.41,15.84,34.33,18.48,8.67,44.31,0.19
2019,2,25,24.61,15.69,20.15,25.15,10.41,30.56,20.16,11.35,62.75,20.25
2019,2,26,23.57,19.44,21.51,24.2,10.54,30.12,19.58,14.1,80.62,35.02
2019,2,27,23.51,20.62,22.07,23.76,8.48,28.54,20.06,15.14,85.38,25.98
2019,2,28,22.26,16.55,19.4,22.47,9.13,28.07,18.94,11.84,72.81,12.33
2019,3,1,20.32,10.42,15.37,20.05,13.36,26.73,13.37,7.87,56.19,0.0
2019,3,2,20.79,8.46,14.62,19.98,15.48,28.18,12.69,6.9,48.44,0.0
2019,3,3,21.32,11.37,16.34,21.08,15.8,28.9,13.11,8.36,56.81,0.0
2019,3,4,22.7,17.51,20.11,22.83,11.39,28.62,17.23,12.63,73.94,6.59
2019,3,5,24.55,19.8,22.18,24.58,7.58,28.99,21.41,14.47,76.81,9.43
2019,3,6,24.29,16.13,20.21,23.98,11.12,30.26,19.15,11.41,63.19,0.06
2019,3,7,23.47,12.74,18.1,23.22,12.76,29.69,16.93,9.28,54.38,0.0
2019,3,8,22.18,10.01,16.09,22.31,14.81,30.02,15.21,7.69,50.0,0.0
2019,3,9,22.4,11.31,16.86,22.74,16.95,31.19,14.24,8.42,55.5,0.0
2019,3,10,24.13,17.58,20.86,24.73,15.39,32.08,16.69,12.57,70.56,0.01
2019,3,11,26.44,18.48,22.45,26.68,13.41,33.44,20.04,13.37,65.94,0.4
2019,3,12,26.63,17.08,21.86,27.19,15.82,35.08,19.26,12.27,61.62,0.0
2019,3,13,28.4,18.29,23.34,28.44,15.1,36.32,21.22,13.37,60.69,0.0
2019,3,14,27.87,18.45,23.16,28.93,15.3,35.83,20.52,13.43,62.69,0.05
2019,3,15,26.96,19.34,23.15,27.33,11.56,33.08,21.51,14.04,67.0,2.89
2019,3,16,27.46,18.55,23.01,28.16,14.23,35.15,20.94,13.24,61.5,0.19
2019,3,17,28.08,17.59,22.83,28.9,15.08,35.78,20.7,12.57,57.88,1.35
2019,3,18,24.91,16.89,20.9,25.01,11.51,32.25,20.74,12.02,64.38,6.57
2019,3,19,26.44,16.91,21.68,27.34,11.91,33.12,21.2,12.02,59.0,0.02
2019,3,20,26.23,15.0,20.61,27.12,14.61,34.57,19.96,11.11,58.25,0.0
2019,3,21,27.48,18.33,22.9,28.41,15.6,36.1,20.51,13.43,64.06,0.01
2019,3,22,28.56,19.76,24.16,29.4,13.88,36.86,22.98,14.53,65.5,4.42
2019,3,23,27.23,15.01,21.12,27.75,15.96,36.06,20.11,11.05,55.31,1.14
2019,3,24,26.21,8.92,17.57,26.75,18.47,35.98,17.51,7.45,41.62,0.0
2019,3,25,26.76,11.79,19.27,27.48,19.66,36.92,17.26,8.73,45.06,0.0
2019,3,26,28.21,15.89,22.05,28.5,16.91,36.69,19.79,11.35,53.19,0.74
2019,3,27,26.44,15.9,21.17,27.19,13.46,33.53,20.07,11.23,54.75,4.52
2019,3,28,27.51,17.09,22.3,28.74,15.23,35.55,20.32,12.33,59.62,0.0
2019,3,29,27.95,19.22,23.58,28.98,15.19,36.0,20.81,14.04,65.12,0.0
2019,3,30,29.08,19.25,24.16,30.31,14.48,37.1,22.62,14.22,62.31,0.0
2019,3,31,30.01,20.33,25.17,31.24,15.64,38.42,22.79,15.26,63.81,0.76
2019,4,1,29.84,21.51,25.68,31.22,12.67,37.4,24.73,16.24,66.44,2.42
2019,4,2,29.71,17.14,23.43,30.75,14.7,38.43,23.73,13.24,58.69,0.47
2019,4,3,28.72,16.05,22.38,29.95,18.08,38.32,20.24,12.15,58.25,0.0
2019,4,4,29.84,20.13,24.99,31.25,15.46,38.52,23.07,15.08,64.0,0.0
2019,4,5,30.44,20.61,25.52,32.23,15.45,38.87,23.42,15.38,62.44,0.65
2019,4,6,30.51,21.26,25.88,32.28,14.4,38.6,24.19,15.93,64.06,9.59
2019,4,7,29.13,20.9,25.02,30.17,12.09,36.1,24.01,15.5,65.62,3.44
2019,4,8,29.72,21.3,25.51,30.98,13.46,37.14,23.68,15.93,65.06,0.61
2019,4,9,30.29,20.06,25.18,31.94,14.63,38.48,23.84,15.01,61.88,2.66
2019,4,10,29.65,21.69,25.68,30.86,13.13,37.23,24.08,16.36,67.44,6.18
2019,4,11,30.52,21.82,26.17,32.28,13.71,37.81,24.1,16.42,64.56,0.07
2019,4,12,31.34,20.87,26.11,33.18,14.65,39.03,24.38,15.56,59.69,0.05
2019,4,13,31.83,20.82,26.33,33.84,15.25,40.12,24.87,15.56,58.25,0.26
2019,4,14,31.87,20.54,26.21,33.42,16.59,41.09,24.51,15.38,58.5,0.18
2019,4,15,32.88,20.55,26.72,34.68,16.83,42.19,25.37,15.5,56.69,0.0
2019,4,16,32.68,20.59,26.63,33.94,15.1,40.72,25.62,15.44,55.75,0.94
2019,4,17,32.55,20.49,26.52,33.83,14.73,40.2,25.47,15.38,55.69,2.0
2019,4,18,30.91,15.14,23.02,32.36,15.55,38.64,23.09,10.86,42.31,0.0
2019,4,19,31.33,18.44,24.89,32.58,13.66,38.27,24.62,13.43,51.31,0.23
2019,4,20,31.59,16.21,23.9,33.19,12.79,38.63,25.84,11.6,42.19,0.03
2019,4,21,31.91,18.15,25.03,33.65,13.87,39.83,25.96,13.12,48.12,0.93
2019,4,22,30.78,19.68,25.23,32.95,13.74,38.07,24.33,14.53,56.94,4.96
2019,4,23,31.09,19.27,25.19,33.08,14.58,38.5,23.92,14.04,54.0,0.3
2019,4,24,32.07,19.49,25.78,34.16,14.85,39.77,24.93,14.22,52.12,0.08
2019,4,25,32.48,19.32,25.9,34.6,15.99,40.84,24.85,14.16,51.38,0.01
2019,4,26,32.96,20.93,26.94,34.87,15.64,41.28,25.64,15.69,55.06,2.06
2019,4,27,33.47,22.08,27.77,35.32,15.74,42.16,26.42,16.85,57.62,1.8
2019,4,28,34.23,19.44,26.83,36.05,17.1,44.05,26.95,15.14,52.69,0.0
2019,4,29,33.96,19.97,26.97,35.81,17.34,43.75,26.4,15.5,54.75,0.0
2019,4,30,33.12,21.47,27.3,34.9,15.84,42.36,26.51,16.24,56.81,0.72
2019,5,1,32.03,22.79,27.4,33.73,12.66,39.58,26.92,17.46,62.12,0.56
2019,5,2,32.4,22.69,27.55,34.14,12.24,39.1,26.86,17.33,59.75,0.11
2019,5,3,28.73,24.42,26.57,29.01,6.32,32.76,26.44,19.23,78.5,36.56
2019,5,4,28.98,23.25,26.12,29.19,8.81,34.39,25.58,18.01,73.5,29.39
2019,5,5,31.16,22.23,26.69,32.3,14.04,38.68,24.64,16.85,63.81,0.0
2019,5,6,32.12,19.18,25.65,33.14,15.17,40.8,25.62,14.59,55.0,0.0
2019,5,7,32.23,19.53,25.88,33.28,17.0,41.94,24.94,14.95,57.62,0.09
2019,5,8,31.48,20.79,26.14,32.37,18.11,41.38,23.27,15.75,61.06,9.76
2019,5,9,32.89,20.75,26.82,33.99,17.86,42.62,24.76,15.87,57.19,0.0
2019,5,10,33.33,21.78,27.55,34.75,17.04,42.63,25.59,16.91,59.56,0.0
2019,5,11,33.23,23.05,28.14,34.66,14.84,41.62,26.79,18.01,61.88,0.0
2019,5,12,33.29,22.69,27.99,34.65,13.13,40.88,27.75,17.64,59.69,0.0
2019,5,13,33.82,22.84,28.33,35.39,13.4,41.5,28.1,17.64,57.62,2.44
2019,5,14,32.4,23.08,27.74,33.31,12.7,39.5,26.8,17.88,62.69,12.95
2019,5,15,32.83,22.13,27.48,34.0,13.58,40.4,26.83,16.85,58.5,2.53
2019,5,16,32.98,22.4,27.69,34.79,13.59,40.41,26.82,17.15,58.81,0.71
