-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  25.4009   Longitude 88.5324 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 33.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,16.56,7.86,12.21,15.65,15.31,25.3,9.98,6.59,60.0,0.0
2019,1,2,16.88,8.52,12.7,15.98,15.37,25.12,9.76,6.9,63.06,0.0
2019,1,3,16.09,6.99,11.55,15.32,14.27,24.87,10.59,6.23,58.88,0.0
2019,1,4,15.17,5.27,10.22,14.08,15.48,23.87,8.4,5.49,54.56,0.0
2019,1,5,16.17,10.17,13.17,16.0,15.86,25.11,9.25,7.69,71.06,0.0
2019,1,6,17.12,10.26,13.69,17.19,16.02,26.13,10.11,7.75,69.31,0.0
2019,1,7,18.16,10.16,14.16,17.76,16.48,27.05,10.58,7.69,64.56,0.0
2019,1,8,17.96,8.45,13.2,17.65,14.05,26.05,12.0,6.84,55.75,0.0
2019,1,9,17.09,8.28,12.69,16.94,14.21,25.33,11.12,6.77,59.06,0.0
2019,1,10,16.23,5.88,11.05,15.4,14.56,23.88,9.32,5.74,52.88,0.0
2019,1,11,17.03,9.36,13.19,16.2,14.66,24.91,10.25,7.26,63.25,0.0
2019,1,12,17.96,10.81,14.39,17.37,13.94,25.52,11.59,8.06,66.56,0.0
2019,1,13,18.7,9.93,14.31,18.03,14.94,26.89,11.95,7.57,61.19,0.0
2019,1,14,17.14,6.77,11.96,16.78,14.17,25.39,11.22,6.1,53.06,0.0
2019,1,15,15.95,4.32,10.14,15.76,15.45,25.04,9.58,5.13,49.44,0.0
2019,1,16,16.44,3.04,9.74,15.72,16.67,25.26,8.59,4.82,43.88,0.0
2019,1,17,18.28,10.71,14.5,17.66,15.67,26.57,10.9,8.0,65.62,0.0
2019,1,18,18.39,9.8,14.09,18.11,13.99,26.26,12.27,7.51,60.31,0.0
2019,1,19,17.01,6.39,11.69,16.75,14.95,25.57,10.62,5.98,51.88,0.0
2019,1,20,18.19,7.37,12.78,17.28,13.6,25.8,12.19,6.35,51.56,0.0
2019,1,21,19.65,9.39,14.52,18.35,14.3,26.92,12.62,7.32,54.5,0.0
2019,1,22,20.05,10.58,15.32,19.46,16.12,27.91,11.79,7.93,59.69,0.0
2019,1,23,20.39,10.55,15.47,19.67,15.33,28.02,12.69,7.87,57.19,0.0
2019,1,24,20.45,11.46,15.96,19.76,14.51,27.84,13.33,8.36,60.12,0.06
2019,1,25,20.51,11.49,16.0,20.49,13.84,27.81,13.98,8.36,58.69,0.05
2019,1,26,20.83,12.15,16.48,21.12,14.26,28.83,14.57,8.73,61.62,0.0
2019,1,27,20.57,11.37,15.98,20.9,13.11,27.83,14.72,8.3,58.25,0.0
2019,1,28,19.62,8.49,14.05,19.93,13.55,27.35,13.8,6.84,51.19,0.02
2019,1,29,16.81,1.69,9.25,17.08,15.16,25.44,10.29,4.27,39.38,0.11
2019,1,30,16.65,1.9,9.28,15.86,16.66,24.67,8.0,4.33,39.5,0.0
2019,1,31,17.39,7.8,12.59,17.34,17.49,26.77,9.28,6.59,58.44,0.0
2019,2,1,18.52,9.39,13.96,17.95,14.54,26.72,12.18,7.32,60.06,0.0
2019,2,2,19.97,8.15,14.06,19.08,14.88,28.01,13.13,6.77,49.94,0.0
2019,2,3,19.54,4.49,12.01,18.62,16.79,28.07,11.27,5.19,39.69,0.0
2019,2,4,18.83,4.08,11.45,18.21,16.41,27.33,10.92,5.07,40.75,0.0
2019,2,5,19.77,3.37,11.58,18.44,16.6,28.07,11.47,4.82,36.12,0.0
2019,2,6,20.9,3.6,12.25,19.08,13.4,27.72,14.32,4.94,33.38,0.0
2019,2,7,20.88,7.55,14.22,21.05,15.66,29.09,13.44,6.53,44.06,0.0
2019,2,8,21.33,12.05,16.69,21.8,13.52,28.77,15.26,8.73,58.56,2.22
2019,2,9,20.04,14.49,17.26,21.28,11.63,26.5,14.87,10.25,73.44,5.51
2019,2,10,17.44,5.06,11.25,17.6,17.0,26.05,9.06,5.62,51.62,0.01
2019,2,11,19.0,5.15,12.08,18.21,14.79,26.64,11.86,5.43,42.19,0.01
2019,2,12,19.84,6.3,13.07,19.55,16.43,28.16,11.74,5.92,44.81,0.0
2019,2,13,21.07,6.98,14.02,21.26,15.34,29.3,13.95,6.16,42.62,0.0
2019,2,14,22.38,8.72,15.55,22.89,16.23,31.26,15.03,6.96,44.25,0.0
2019,2,15,22.57,8.53,15.55,22.9,15.14,30.77,15.63,6.9,43.56,0.0
2019,2,16,20.54,12.4,16.47,20.69,7.3,24.55,17.24,8.91,60.0,1.69
2019,2,17,20.86,9.76,15.31,21.5,11.99,27.51,15.51,7.57,51.94,0.04
