-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  26.8821   Longitude 88.2789 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1313.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,10.84,-2.17,4.33,7.19,10.46,17.45,7.0,3.78,41.62,0.0
2019,1,2,10.83,-1.7,4.56,7.21,10.24,17.32,7.08,3.91,43.31,0.0
2019,1,3,9.55,-1.45,4.05,6.71,10.08,15.83,5.75,3.97,47.94,0.02
2019,1,4,9.06,-0.77,4.15,6.55,10.98,15.86,4.87,4.21,52.06,0.0
2019,1,5,11.3,-0.11,5.59,8.08,10.46,18.08,7.62,4.39,47.12,0.0
2019,1,6,12.33,-1.36,5.48,8.72,11.2,19.37,8.18,4.09,41.19,0.0
2019,1,7,12.58,-1.49,5.55,9.09,11.2,19.05,7.85,4.09,40.38,0.0
2019,1,8,11.25,0.68,5.97,9.26,11.96,18.63,6.67,4.7,50.88,0.0
2019,1,9,10.51,1.73,6.12,8.44,9.97,16.62,6.64,5.0,56.75,0.27
2019,1,10,9.74,1.8,5.77,7.45,9.4,15.8,6.4,5.07,59.62,0.12
2019,1,11,10.48,2.44,6.46,7.94,9.68,16.5,6.82,5.31,59.5,0.02
2019,1,12,11.47,2.12,6.8,8.68,10.62,18.11,7.5,5.19,55.31,0.0
