-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  26.7271   Longitude 88.3953 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 273.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,16.65,2.65,9.65,13.63,12.88,23.66,10.78,4.7,40.19,0.0
2019,1,2,16.58,2.69,9.64,13.84,13.02,23.87,10.84,4.7,40.62,0.0
2019,1,3,15.41,2.81,9.11,13.68,12.95,23.52,10.58,4.76,44.62,0.0
2019,1,4,15.48,3.14,9.31,13.33,12.91,23.05,10.14,4.88,45.06,0.0
2019,1,5,16.84,4.96,10.9,14.55,12.34,23.87,11.53,5.55,46.81,0.0
2019,1,6,17.8,4.94,11.37,15.44,11.85,25.3,13.44,5.55,44.44,0.0
2019,1,7,19.19,4.13,11.65,16.6,11.57,26.06,14.49,5.31,38.5,0.0
2019,1,8,18.03,5.6,11.82,17.01,13.3,25.94,12.64,5.8,46.06,0.0
2019,1,9,17.21,5.67,11.44,15.9,11.48,24.32,12.84,5.8,48.12,0.09
2019,1,10,16.3,5.34,10.82,14.37,10.49,22.51,12.03,5.68,49.38,0.05
2019,1,11,16.23,6.92,11.58,14.62,11.27,22.84,11.57,6.35,55.31,0.0
2019,1,12,17.47,6.9,12.19,15.62,11.66,24.21,12.56,6.35,51.19,0.0
2019,1,13,18.36,5.89,12.12,16.54,12.75,26.39,13.64,5.92,45.88,0.0
2019,1,14,17.33,4.19,10.76,15.9,12.25,25.04,12.79,5.25,43.56,0.0
2019,1,15,16.44,1.69,9.07,14.75,12.59,24.64,12.05,4.39,39.56,0.0
2019,1,16,17.13,1.36,9.24,14.53,12.71,24.01,11.3,4.33,35.69,0.0
