-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  22.6859   Longitude 88.2759 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,15.08,7.38,11.23,14.8,16.59,24.49,7.9,6.35,63.19,0.0
2019,1,2,15.65,7.44,11.55,15.25,16.73,25.01,8.28,6.35,60.88,0.0
2019,1,3,15.98,7.05,11.51,14.6,15.86,24.62,8.76,6.23,57.88,0.0
2019,1,4,15.41,6.79,11.1,14.48,16.36,24.28,7.93,6.04,59.5,0.0
2019,1,5,15.68,7.48,11.58,15.01,16.02,24.57,8.55,6.41,60.88,0.0
2019,1,6,17.4,9.33,13.37,16.93,16.77,26.53,9.76,7.26,62.0,0.0
2019,1,7,18.01,9.58,13.8,17.19,16.95,26.93,9.98,7.39,61.12,0.0
2019,1,8,17.86,10.57,14.22,17.54,14.76,26.18,11.41,7.87,64.94,0.0
2019,1,9,18.03,10.76,14.4,17.42,14.38,25.76,11.38,8.0,65.19,0.0
2019,1,10,17.52,9.46,13.49,16.76,14.05,24.89,10.84,7.32,61.56,0.0
2019,1,11,16.33,6.56,11.45,15.65,14.94,24.31,9.37,5.98,55.25,0.0
2019,1,12,16.62,7.24,11.93,15.64,15.74,24.98,9.24,6.29,56.5,0.0
2019,1,13,17.09,7.69,12.39,16.45,16.46,26.02,9.56,6.47,57.0,0.0
2019,1,14,18.15,10.49,14.32,17.45,15.29,26.06,10.77,7.87,64.0,0.0
2019,1,15,17.56,8.53,13.05,16.97,13.6,25.37,11.76,6.9,58.5,0.0
2019,1,16,15.82,4.38,10.1,15.66,16.7,24.98,8.28,5.19,50.44,0.0
2019,1,17,16.4,5.21,10.81,15.76,17.12,25.25,8.13,5.49,50.62,0.0
2019,1,18,17.44,6.23,11.83,16.3,16.77,25.91,9.15,5.92,51.94,0.0
2019,1,19,17.18,6.12,11.65,16.35,16.97,26.21,9.25,5.86,52.12,0.0
2019,1,20,17.78,6.83,12.3,16.72,15.88,25.85,9.96,6.1,51.38,0.0
2019,1,21,18.83,7.94,13.39,17.55,16.5,27.02,10.52,6.59,52.0,0.0
2019,1,22,20.39,8.66,14.53,18.5,16.78,28.56,11.78,6.96,50.12,0.0
2019,1,23,20.81,9.69,15.25,19.5,16.95,29.7,12.76,7.51,54.69,0.0
2019,1,24,21.23,10.54,15.88,20.43,17.73,30.27,12.55,7.93,56.19,0.0
