-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  26.5289   Longitude 88.7259 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 139.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,17.17,4.62,10.9,14.69,13.96,24.52,10.56,5.37,45.25,0.0
2019,1,2,17.85,4.26,11.05,14.84,12.36,24.51,12.15,5.19,41.81,0.0
2019,1,3,16.44,4.66,10.55,14.8,12.97,24.14,11.17,5.37,47.25,0.02
2019,1,4,15.76,5.07,10.41,14.23,13.84,23.33,9.5,5.49,50.81,0.0
2019,1,5,17.4,6.26,11.83,15.4,12.14,24.55,12.41,5.98,49.62,0.0
2019,1,6,18.24,6.56,12.4,16.15,11.39,25.33,13.94,6.16,48.25,0.0
2019,1,7,19.6,5.33,12.46,17.07,11.89,26.6,14.71,5.68,40.75,0.0
2019,1,8,18.97,6.12,12.55,17.78,13.5,26.94,13.44,5.92,44.94,0.0
2019,1,9,17.63,6.92,12.27,16.73,12.34,24.94,12.6,6.23,51.0,0.04
2019,1,10,16.63,6.66,11.65,15.09,11.34,22.68,11.34,6.1,52.88,0.06
2019,1,11,17.39,7.91,12.65,15.57,10.84,23.76,12.92,6.71,54.88,0.0
2019,1,12,18.26,8.13,13.2,16.54,12.04,24.91,12.88,6.77,53.0,0.0
2019,1,13,19.2,7.45,13.33,17.3,12.28,26.76,14.48,6.47,48.19,0.0
2019,1,14,17.93,5.62,11.77,16.76,12.83,25.5,12.67,5.74,46.06,0.0
2019,1,15,17.19,3.65,10.42,15.44,11.98,24.96,12.98,5.0,42.38,0.0
