-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  22.4309   Longitude 87.3215 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,14.05,7.62,10.83,12.88,15.46,22.5,7.03,6.47,67.19,0.0
2019,1,2,14.89,7.66,11.27,13.23,15.79,23.06,7.27,6.53,63.88,0.0
2019,1,3,15.35,7.77,11.56,13.05,14.96,23.01,8.05,6.53,62.06,0.0
2019,1,4,14.79,7.68,11.23,13.03,15.6,22.85,7.25,6.47,64.38,0.0
2019,1,5,15.01,8.24,11.62,13.32,14.78,22.61,7.83,6.77,65.62,0.0
2019,1,6,16.57,9.75,13.16,14.83,15.63,24.35,8.72,7.51,65.5,0.0
2019,1,7,17.23,10.02,13.63,15.21,15.77,24.94,9.17,7.63,64.62,0.0
2019,1,8,16.87,11.01,13.94,15.63,13.22,23.96,10.74,8.18,69.81,0.0
2019,1,9,17.32,11.12,14.22,15.68,13.44,23.92,10.48,8.18,68.75,0.0
2019,1,10,16.96,10.51,13.73,15.17,13.2,23.42,10.23,7.87,67.44,0.0
2019,1,11,15.88,7.73,11.8,13.79,14.17,22.47,8.3,6.53,60.38,0.0
2019,1,12,16.5,8.36,12.43,14.12,14.59,23.37,8.79,6.84,60.44,0.0
2019,1,13,16.8,9.45,13.12,14.86,14.75,23.94,9.18,7.32,64.0,0.0
2019,1,14,17.78,11.52,14.65,16.18,13.55,24.54,10.98,8.42,68.75,0.0
2019,1,15,16.75,9.64,13.19,15.26,12.83,23.69,10.86,7.45,65.12,0.0
2019,1,16,15.2,5.58,10.39,13.4,15.22,22.55,7.33,5.62,55.25,0.0
2019,1,17,15.94,6.62,11.28,13.76,15.85,23.43,7.58,6.04,55.94,0.0
