-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  22.7248   Longitude 88.4789 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,16.25,7.48,11.87,16.3,17.33,26.05,8.73,6.35,60.0,0.0
2019,1,2,16.77,7.71,12.24,16.79,17.02,26.34,9.33,6.47,58.62,0.0
2019,1,3,16.69,6.69,11.69,16.04,16.38,26.12,9.74,6.04,55.5,0.0
2019,1,4,15.99,6.07,11.03,15.42,16.56,25.15,8.59,5.8,55.56,0.0
2019,1,5,16.43,6.89,11.65,16.17,17.04,26.03,8.99,6.1,57.12,0.0
2019,1,6,18.26,8.9,13.58,18.12,17.52,28.05,10.52,7.02,58.69,0.0
2019,1,7,18.71,8.73,13.72,18.49,17.86,28.54,10.68,6.96,57.06,0.0
2019,1,8,18.82,9.8,14.3,18.82,16.45,27.94,11.48,7.51,59.69,0.0
2019,1,9,18.8,10.15,14.48,18.9,14.97,27.23,12.26,7.63,60.81,0.0
2019,1,10,18.1,8.17,13.14,17.98,14.68,26.13,11.46,6.71,55.69,0.0
2019,1,11,17.05,5.23,11.14,16.92,15.3,25.61,10.3,5.49,49.5,0.0
2019,1,12,17.11,6.4,11.75,16.9,16.55,26.17,9.62,5.92,52.75,0.0
2019,1,13,17.96,6.83,12.39,18.01,17.14,27.44,10.29,6.1,51.5,0.0
2019,1,14,18.57,8.56,13.56,18.26,16.3,27.13,10.83,6.9,55.81,0.0
2019,1,15,18.4,6.96,12.68,18.11,14.02,26.4,12.38,6.16,50.19,0.0
2019,1,16,16.94,3.08,10.01,17.28,17.41,26.65,9.24,4.7,43.94,0.0
2019,1,17,17.13,3.55,10.33,17.45,18.01,26.87,8.87,4.88,44.38,0.0
2019,1,18,17.93,4.54,11.23,17.65,17.38,27.15,9.76,5.25,45.88,0.0
2019,1,19,17.74,3.83,10.79,17.58,17.66,27.33,9.67,5.0,43.5,0.0
2019,1,20,18.33,5.51,11.92,18.06,16.41,27.01,10.6,5.55,45.94,0.0
2019,1,21,19.6,6.5,13.05,18.79,16.68,28.05,11.37,5.98,45.19,0.0
2019,1,22,21.33,6.92,14.13,19.79,16.45,29.81,13.37,6.16,42.19,0.0
2019,1,23,21.8,6.93,14.36,20.59,17.28,30.82,13.54,6.23,42.44,0.0
2019,1,24,22.1,8.62,15.36,21.83,18.06,31.71,13.65,6.96,46.94,0.0
2019,1,25,22.48,9.91,16.19,22.01,15.72,30.64,14.92,7.51,48.5,0.0
2019,1,26,22.48,10.05,16.26,23.13,16.41,31.44,15.03,7.63,49.25,0.0
2019,1,27,21.71,12.23,16.98,22.61,14.02,28.98,14.97,8.79,58.12,0.0
2019,1,28,22.54,11.32,16.93,23.48,12.7,29.45,16.75,8.24,51.69,0.0
2019,1,29,20.7,7.26,13.98,21.54,12.62,27.73,15.11,6.35,44.12,0.0
2019,1,30,17.58,-1.11,8.23,18.13,17.79,26.74,8.95,3.54,32.94,0.0
2019,1,31,18.88,1.79,10.33,18.88,17.87,28.08,10.21,4.27,33.75,0.0
2019,2,1,20.05,4.5,12.27,20.73,18.49,30.15,11.65,5.19,39.44,0.0
2019,2,2,20.47,5.08,12.77,20.76,18.26,29.98,11.72,5.43,40.69,0.0
2019,2,3,21.17,4.78,12.98,21.13,18.3,30.59,12.28,5.31,37.44,0.0
2019,2,4,21.69,5.65,13.68,21.32,16.48,30.19,13.69,5.62,37.69,0.0
2019,2,5,21.46,5.3,13.38,21.23,17.48,30.4,12.92,5.49,38.5,0.0
2019,2,6,22.02,6.67,14.35,21.51,16.93,30.23,13.3,6.1,40.44,0.0
2019,2,7,23.73,9.65,16.69,23.69,16.53,32.37,15.83,7.57,45.38,0.0
2019,2,8,24.3,13.27,18.78,25.43,16.04,32.74,16.7,9.58,57.56,0.0
2019,2,9,23.9,13.91,18.9,25.12,13.59,31.44,17.87,9.89,57.5,0.28
2019,2,10,20.75,3.87,12.3,21.87,14.16,28.82,14.65,5.68,43.06,0.01
2019,2,11,19.48,1.25,10.37,20.1,17.62,28.79,11.16,4.09,31.81,0.0
2019,2,12,20.72,3.73,12.22,21.44,18.04,30.26,12.22,4.88,35.56,0.0
2019,2,13,21.66,5.3,13.48,22.34,17.71,30.93,13.21,5.49,37.5,0.0
2019,2,14,23.26,6.52,14.9,23.87,19.16,33.06,13.91,6.04,38.38,0.0
2019,2,15,24.37,8.17,16.27,24.89,18.66,33.87,15.22,6.71,40.31,0.0
2019,2,16,23.33,10.3,16.82,23.5,13.05,29.99,16.94,7.75,45.06,0.18
2019,2,17,23.51,12.65,18.08,24.19,11.77,30.53,18.76,9.16,54.12,0.02
2019,2,18,23.15,8.85,16.0,23.64,14.38,30.8,16.43,7.39,45.88,0.0
2019,2,19,24.75,13.33,19.04,25.73,16.05,33.69,17.65,9.77,57.31,0.0
2019,2,20,25.65,14.49,20.07,26.41,16.34,34.4,18.06,10.44,57.0,0.0
2019,2,21,26.57,12.24,19.4,26.84,16.29,34.95,18.66,9.09,47.62,0.0
2019,2,22,26.88,14.82,20.85,28.06,17.35,35.9,18.55,10.68,55.31,0.0
2019,2,23,28.17,16.61,22.39,29.49,14.44,36.4,21.96,12.02,56.38,0.01
2019,2,24,27.66,14.53,21.1,29.15,14.48,35.34,20.87,10.68,52.31,0.17
2019,2,25,25.4,19.62,22.51,26.23,8.8,30.71,21.91,14.28,73.56,28.76
2019,2,26,24.58,19.44,22.01,25.37,9.98,30.72,20.73,14.1,76.38,39.91
2019,2,27,24.16,20.77,22.47,24.61,6.91,28.49,21.58,15.26,82.94,41.38
2019,2,28,22.59,18.03,20.31,23.01,9.71,27.54,17.83,12.94,77.62,37.21
2019,3,1,20.62,12.83,16.73,20.55,10.78,26.18,15.4,9.16,63.56,0.0
2019,3,2,20.69,10.5,15.59,19.81,13.9,27.26,13.37,7.87,54.5,0.0
2019,3,3,21.28,12.29,16.78,20.8,14.23,28.0,13.76,8.91,59.19,0.0
2019,3,4,22.52,18.9,20.71,22.85,10.58,27.62,17.04,13.67,81.31,7.4
2019,3,5,24.94,21.4,23.17,24.86,7.55,29.31,21.76,15.93,81.75,16.28
2019,3,6,24.75,18.51,21.63,24.19,9.13,29.46,20.33,13.24,70.25,0.15
2019,3,7,23.98,16.97,20.47,23.57,10.03,29.03,19.0,12.08,67.44,0.0
2019,3,8,22.53,12.94,17.73,22.12,12.85,28.94,16.09,9.22,57.25,0.0
2019,3,9,22.9,15.8,19.34,22.9,14.03,29.96,15.92,11.11,67.81,0.0
2019,3,10,24.01,19.68,21.84,24.44,13.02,30.87,17.84,14.22,78.56,0.0
2019,3,11,26.01,21.0,23.5,26.3,11.64,32.0,20.36,15.44,75.5,0.02
2019,3,12,26.79,20.89,23.84,27.19,12.98,33.98,21.01,15.38,73.0,0.0
2019,3,13,27.86,21.36,24.61,28.12,13.36,35.01,21.65,15.81,71.5,0.0
2019,3,14,27.83,21.25,24.54,28.62,12.56,34.6,22.03,15.75,70.88,0.05
2019,3,15,27.48,21.13,24.3,27.86,11.79,33.84,22.05,15.56,71.62,2.35
2019,3,16,27.41,19.71,23.56,28.0,13.12,34.65,21.55,14.22,66.06,1.45
2019,3,17,27.87,19.8,23.83,28.33,13.69,34.95,21.26,14.34,65.81,5.14
2019,3,18,24.97,18.63,21.8,25.01,8.68,29.99,21.3,13.49,71.19,13.71
2019,3,19,25.82,19.07,22.44,26.41,11.37,32.21,20.84,13.73,69.44,0.05
