-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  23.0944   Longitude 86.2203 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 233.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,13.89,4.52,9.2,12.35,16.5,22.53,6.03,5.31,56.44,0.0
2019,1,2,15.18,5.11,10.15,13.0,15.31,23.18,7.87,5.55,53.75,0.0
2019,1,3,15.37,4.91,10.14,13.33,16.88,24.48,7.6,5.49,53.06,0.0
2019,1,4,14.9,5.49,10.19,13.23,16.73,23.7,6.98,5.74,56.25,0.0
2019,1,5,15.27,6.13,10.7,13.33,15.62,23.09,7.47,5.98,56.88,0.0
2019,1,6,16.66,6.8,11.73,14.52,15.34,24.64,9.3,6.29,54.38,0.0
2019,1,7,16.97,7.77,12.37,15.43,16.88,25.98,9.08,6.71,57.69,0.0
2019,1,8,15.94,9.24,12.59,15.51,13.78,23.79,10.0,7.45,66.88,0.0
2019,1,9,16.6,8.29,12.44,15.26,14.61,24.17,9.56,6.9,61.25,0.0
2019,1,10,15.44,5.94,10.69,14.26,15.39,23.56,8.17,5.92,56.44,0.0
2019,1,11,15.83,6.33,11.08,14.0,14.6,23.1,8.49,6.04,55.62,0.0
2019,1,12,16.15,7.58,11.87,14.75,13.88,23.99,10.11,6.59,59.06,0.0
2019,1,13,17.1,9.05,13.08,15.9,15.48,25.57,10.08,7.32,61.94,0.0
2019,1,14,17.44,9.93,13.69,16.54,14.03,25.3,11.27,7.75,63.88,0.0
2019,1,15,15.73,6.09,10.91,15.07,14.64,23.79,9.14,5.98,56.5,0.0
2019,1,16,15.01,1.58,8.3,13.33,16.75,23.06,6.31,4.33,44.06,0.0
2019,1,17,16.41,3.07,9.74,14.16,16.21,24.48,8.27,4.82,43.69,0.0
2019,1,18,16.59,3.55,10.08,14.65,17.23,25.51,8.28,5.07,45.0,0.0
2019,1,19,16.3,3.62,9.96,14.53,17.55,25.12,7.57,5.0,46.94,0.0
2019,1,20,16.82,5.05,10.94,15.26,16.5,25.29,8.78,5.55,49.0,0.0
2019,1,21,17.72,7.15,12.43,16.28,16.54,26.81,10.26,6.41,53.06,0.0
2019,1,22,18.17,8.73,13.45,17.41,18.15,28.33,10.19,7.14,58.62,0.0
2019,1,23,18.49,10.19,14.33,18.48,17.73,28.47,10.73,7.93,63.25,0.0
2019,1,24,19.3,11.16,15.23,19.17,15.68,28.46,12.78,8.42,63.5,0.01
2019,1,25,18.9,10.69,14.8,18.59,13.95,27.31,13.36,8.18,62.56,0.0
2019,1,26,18.26,12.15,15.2,17.7,12.53,24.81,12.27,8.97,69.44,0.12
2019,1,27,18.28,12.91,15.59,18.65,12.16,25.26,13.11,9.4,73.62,0.05
2019,1,28,17.96,10.95,14.46,18.36,11.2,24.27,13.07,8.3,66.25,0.0
2019,1,29,16.09,4.02,10.06,16.51,15.27,24.85,9.58,5.19,47.75,0.0
2019,1,30,14.56,0.4,7.48,14.04,19.01,24.55,5.53,4.03,43.38,0.0
2019,1,31,16.4,1.8,9.1,14.82,17.12,24.98,7.85,4.46,40.62,0.0
2019,2,1,18.02,3.84,10.94,16.62,18.25,27.27,9.02,5.13,42.88,0.0
2019,2,2,18.69,5.14,11.91,17.3,17.92,27.93,10.01,5.62,44.69,0.0
2019,2,3,20.01,6.76,13.39,18.37,16.36,28.18,11.81,6.23,45.0,0.0
2019,2,4,18.6,7.23,12.92,18.29,17.95,28.4,10.44,6.47,52.0,0.0
2019,2,5,19.07,7.44,13.25,18.44,18.15,29.05,10.9,6.53,50.5,0.0
2019,2,6,20.52,11.0,15.76,20.29,15.98,29.26,13.28,8.36,57.88,0.0
2019,2,7,21.57,12.41,16.99,21.49,15.73,30.23,14.49,9.16,59.69,0.0
2019,2,8,22.04,12.87,17.45,22.4,14.57,29.96,15.39,9.46,59.62,0.33
