-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  23.3322   Longitude 86.3616 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 261.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,13.42,4.39,8.9,11.82,15.88,21.85,5.97,5.31,57.0,0.0
2019,1,2,14.81,4.62,9.72,12.48,14.31,22.64,8.33,5.37,52.5,0.0
2019,1,3,14.28,4.87,9.58,12.61,16.09,23.59,7.49,5.49,56.12,0.0
2019,1,4,14.56,5.44,10.0,12.79,16.07,23.17,7.1,5.74,56.81,0.0
2019,1,5,15.19,5.58,10.39,12.86,14.21,22.33,8.12,5.8,54.38,0.0
2019,1,6,16.71,6.3,11.5,14.15,14.09,24.11,10.01,6.1,51.56,0.0
2019,1,7,16.62,7.8,12.21,14.98,15.59,25.22,9.63,6.77,58.38,0.0
2019,1,8,15.22,8.71,11.96,14.8,12.93,22.95,10.02,7.2,67.12,0.0
2019,1,9,15.7,8.15,11.93,14.78,13.99,23.48,9.48,6.9,63.81,0.0
2019,1,10,15.05,4.86,9.95,13.6,14.97,22.86,7.89,5.49,53.44,0.0
2019,1,11,15.76,5.05,10.4,13.47,13.32,22.58,9.25,5.55,50.5,0.0
2019,1,12,16.14,6.19,11.16,14.12,13.16,23.3,10.15,6.04,53.19,0.0
2019,1,13,17.42,8.02,12.72,15.36,14.42,25.2,10.78,6.84,55.88,0.0
2019,1,14,16.83,9.02,12.93,15.76,13.63,24.73,11.1,7.32,62.25,0.0
2019,1,15,14.92,4.98,9.95,14.32,14.27,23.07,8.8,5.55,55.06,0.0
2019,1,16,14.44,1.53,7.99,12.71,16.15,22.32,6.17,4.33,44.25,0.0
2019,1,17,15.62,2.66,9.14,13.58,15.56,23.76,8.19,4.7,44.5,0.0
2019,1,18,15.34,3.12,9.23,13.83,16.68,24.69,8.01,4.94,47.19,0.0
2019,1,19,15.21,4.05,9.63,13.83,16.96,24.29,7.33,5.19,50.62,0.0
2019,1,20,16.28,5.11,10.69,14.81,15.59,24.57,8.97,5.62,50.25,0.0
2019,1,21,17.91,6.62,12.27,15.76,14.97,26.07,11.09,6.23,49.69,0.0
2019,1,22,18.08,8.36,13.22,16.81,16.41,27.56,11.15,7.02,56.38,0.0
2019,1,23,18.33,9.65,13.98,18.11,16.62,27.86,11.23,7.69,61.0,0.01
2019,1,24,19.4,11.4,15.4,19.01,13.97,27.61,13.64,8.61,63.19,0.34
2019,1,25,18.94,10.95,14.94,18.36,13.01,26.65,13.64,8.3,62.81,0.0
2019,1,26,17.53,12.06,14.8,16.79,10.84,23.26,12.41,8.91,71.56,0.18
2019,1,27,17.87,12.36,15.12,18.14,12.15,24.87,12.73,9.09,72.56,0.06
2019,1,28,17.03,9.16,13.09,17.36,11.6,23.87,12.27,7.39,62.12,0.0
2019,1,29,15.08,2.06,8.57,15.28,14.86,23.98,9.12,4.52,44.12,0.0
2019,1,30,14.08,-0.1,6.98,13.51,18.38,23.85,5.47,3.91,42.44,0.0
2019,1,31,16.69,0.56,8.62,14.55,15.6,24.54,8.94,4.03,35.75,0.0
2019,2,1,18.2,2.84,10.52,16.23,16.55,26.69,10.13,4.76,38.44,0.0
2019,2,2,18.71,4.28,11.5,16.89,16.95,27.45,10.51,5.31,41.31,0.0
2019,2,3,19.53,6.24,12.88,18.01,15.66,27.61,11.94,6.04,44.19,0.0
2019,2,4,17.9,6.35,12.12,17.67,17.36,27.79,10.43,6.1,50.75,0.0
2019,2,5,18.7,6.38,12.54,17.86,17.16,28.16,11.0,6.1,47.94,0.0
2019,2,6,20.49,10.02,15.26,19.8,15.4,28.73,13.33,7.87,53.75,0.0
2019,2,7,21.39,12.05,16.72,20.93,15.12,29.58,14.44,8.97,58.06,0.0
2019,2,8,21.6,13.15,17.37,21.92,13.66,29.19,15.53,9.64,62.0,1.0
2019,2,9,19.45,12.14,15.8,19.71,15.12,26.69,11.57,9.34,66.88,5.13
2019,2,10,15.44,1.74,8.58,15.69,18.23,25.34,7.12,4.46,43.88,0.0
2019,2,11,16.88,3.15,10.01,16.19,16.95,25.5,8.55,4.88,43.12,0.0
2019,2,12,17.82,5.01,11.41,17.6,16.71,26.54,9.83,5.55,46.31,0.0
2019,2,13,19.72,5.44,12.58,19.01,16.91,28.57,11.65,5.74,42.31,0.0
2019,2,14,21.42,6.4,13.9,20.55,18.26,30.86,12.61,6.16,41.12,0.0
2019,2,15,22.35,8.98,15.66,21.92,14.23,30.73,16.49,7.32,44.81,0.0
2019,2,16,20.45,12.86,16.65,20.73,13.5,27.87,14.37,9.46,63.94,5.74
2019,2,17,18.9,6.27,12.58,19.26,14.51,27.51,13.0,6.23,48.75,0.0
2019,2,18,19.14,4.34,11.74,18.54,18.03,28.12,10.09,5.31,41.81,0.0
2019,2,19,22.82,7.33,15.08,21.65,16.41,31.62,15.21,6.59,39.31,0.0
2019,2,20,22.9,9.63,16.26,22.68,18.23,32.19,13.96,7.63,46.31,0.0
2019,2,21,23.94,9.8,16.87,23.41,17.66,32.95,15.3,7.69,43.81,0.0
2019,2,22,26.44,12.31,19.37,25.72,17.25,34.52,17.27,9.22,43.75,0.03
2019,2,23,25.21,12.53,18.87,25.72,14.67,33.18,18.51,9.28,47.81,0.01
2019,2,24,23.96,9.69,16.82,24.89,18.61,33.22,14.61,8.0,45.19,5.23
2019,2,25,22.84,12.74,17.8,23.47,13.78,30.74,16.97,9.7,56.62,5.07
2019,2,26,21.71,15.19,18.45,21.95,9.95,27.64,17.68,11.23,70.62,6.93
2019,2,27,22.64,16.06,19.35,22.81,13.7,30.55,16.86,11.78,70.5,4.65
2019,2,28,18.89,10.92,14.9,19.28,10.65,24.91,14.26,8.36,61.56,2.45
2019,3,1,18.31,5.28,11.8,18.98,17.11,27.06,9.95,5.68,45.94,0.0
2019,3,2,20.04,3.49,11.76,19.85,16.45,28.3,11.85,5.07,36.5,0.0
2019,3,3,21.13,7.7,14.41,21.28,14.72,29.21,14.49,6.84,46.0,0.32
2019,3,4,22.56,15.33,18.94,22.94,12.92,29.53,16.61,11.29,66.0,2.53
2019,3,5,23.23,15.3,19.26,23.19,9.29,28.2,18.91,11.23,64.06,2.24
2019,3,6,23.28,11.65,17.47,23.83,12.36,29.76,17.4,8.85,51.44,0.0
2019,3,7,21.71,6.9,14.3,22.27,16.22,29.89,13.68,6.41,41.31,0.0
2019,3,8,21.04,5.13,13.08,21.67,17.53,30.4,12.87,5.62,39.06,0.0
2019,3,9,23.02,5.8,14.41,23.09,17.98,32.35,14.37,5.98,36.0,0.0
2019,3,10,24.61,10.38,17.5,25.32,16.45,33.35,16.9,8.12,44.62,0.0
2019,3,11,25.15,11.08,18.12,25.41,16.8,33.71,16.91,8.48,45.44,0.3
2019,3,12,27.33,10.68,19.01,27.02,16.11,35.96,19.86,8.24,38.0,0.0
2019,3,13,27.47,10.65,19.06,27.16,17.54,36.01,18.47,8.3,39.31,0.0
2019,3,14,27.33,12.23,19.78,28.56,15.53,35.58,20.05,9.28,43.44,3.19
2019,3,15,26.31,16.71,21.51,27.04,13.7,33.89,20.19,12.27,58.62,6.41
2019,3,16,26.39,16.13,21.26,26.85,13.54,34.12,20.59,11.72,56.94,2.15
2019,3,17,26.27,11.67,18.97,27.42,16.9,34.67,17.77,8.91,43.62,0.01
2019,3,18,24.62,14.79,19.71,25.16,13.35,31.55,18.19,10.74,57.06,3.26
2019,3,19,24.98,10.42,17.7,25.9,14.64,32.76,18.12,8.24,44.12,0.0
2019,3,20,24.81,5.5,15.15,24.86,18.48,34.23,15.74,5.8,32.62,0.0
2019,3,21,27.04,9.15,18.09,27.23,17.57,35.9,18.33,7.63,35.94,0.03
2019,3,22,27.8,14.12,20.96,28.45,14.53,36.22,21.69,10.38,46.25,1.44
2019,3,23,25.94,7.17,16.56,26.51,16.86,35.33,18.46,6.53,33.62,0.01
2019,3,24,26.38,3.01,14.69,26.25,19.59,35.98,16.4,4.94,25.62,0.0
2019,3,25,28.06,8.35,18.21,28.07,18.36,36.97,18.61,7.08,31.81,0.0
2019,3,26,28.15,10.1,19.13,28.48,13.68,35.91,22.23,7.93,34.81,1.16
2019,3,27,25.3,11.57,18.44,26.17,15.96,34.39,18.43,8.91,47.88,3.05
2019,3,28,27.38,7.72,17.55,27.56,16.34,35.6,19.26,6.77,31.25,0.0
2019,3,29,28.01,9.67,18.84,28.93,16.7,36.77,20.07,7.75,34.88,0.0
2019,3,30,28.95,11.06,20.01,29.54,16.39,37.79,21.4,8.48,36.0,0.0
2019,3,31,30.55,10.44,20.49,30.87,17.2,39.66,22.46,8.18,31.94,0.12
2019,4,1,29.94,12.05,21.0,31.43,15.33,38.39,23.06,9.16,37.0,1.59
2019,4,2,28.83,7.2,18.01,29.44,18.66,38.85,20.2,7.57,37.62,0.17
2019,4,3,28.54,4.04,16.29,29.59,19.38,39.08,19.7,5.31,24.25,0.0
2019,4,4,29.4,10.77,20.08,30.84,19.9,40.01,20.11,8.85,41.06,0.0
2019,4,5,30.15,15.24,22.69,32.39,19.23,40.28,21.05,11.66,50.56,0.05
2019,4,6,30.09,17.31,23.7,32.52,16.76,39.37,22.6,12.94,52.69,13.29
2019,4,7,28.45,18.16,23.3,30.01,13.87,35.98,22.11,13.61,59.94,4.66
2019,4,8,30.05,17.06,23.55,31.1,16.41,38.51,22.1,12.76,52.31,1.15
2019,4,9,29.51,15.96,22.73,30.82,15.53,37.42,21.89,11.78,48.75,2.66
2019,4,10,28.76,16.94,22.85,30.44,17.05,37.94,20.88,12.63,56.12,5.78
2019,4,11,29.8,18.83,24.31,32.15,15.6,38.08,22.48,14.16,58.56,0.02
2019,4,12,30.77,18.08,24.43,32.44,16.74,39.65,22.91,13.61,54.44,0.02
2019,4,13,31.86,16.83,24.34,33.34,17.19,40.23,23.04,12.63,48.19,0.83
2019,4,14,32.96,13.08,23.02,33.62,17.15,41.75,24.6,9.89,34.81,0.13
2019,4,15,33.82,11.79,22.8,34.55,17.02,42.97,25.94,9.16,30.69,0.0
2019,4,16,33.5,12.05,22.77,34.0,14.71,40.86,26.15,9.22,30.44,0.0
2019,4,17,30.87,13.33,22.09,32.15,14.28,38.22,23.94,9.83,36.38,1.85
2019,4,18,29.78,14.93,22.36,32.22,16.03,37.84,21.81,11.11,43.5,3.83
2019,4,19,30.17,16.0,23.08,31.86,13.33,37.1,23.77,11.96,47.69,2.58
2019,4,20,29.98,15.57,22.78,31.35,13.54,36.99,23.45,11.47,45.25,3.28
2019,4,21,30.79,16.19,23.49,31.86,12.77,37.46,24.69,11.96,44.06,4.0
2019,4,22,29.65,16.67,23.16,31.49,14.79,37.3,22.51,12.33,50.69,3.63
2019,4,23,30.05,16.05,23.05,32.28,16.55,38.14,21.59,11.9,49.0,0.22
2019,4,24,30.83,16.81,23.82,33.15,15.88,39.02,23.15,12.51,48.81,0.0
2019,4,25,31.69,17.56,24.62,34.52,16.93,40.17,23.24,13.06,49.0,0.07
2019,4,26,33.47,16.23,24.85,35.48,18.19,42.58,24.39,12.21,42.75,0.01
2019,4,27,34.17,14.23,24.2,35.39,18.6,43.23,24.62,10.86,36.69,1.5
2019,4,28,34.58,6.02,20.3,34.82,18.88,43.55,24.67,6.23,20.12,0.0
2019,4,29,34.44,6.76,20.6,35.6,20.6,44.57,23.97,6.53,21.06,0.0
2019,4,30,33.86,15.3,24.58,35.54,19.62,44.31,24.69,11.78,39.69,7.2
2019,5,1,31.9,18.64,25.27,33.24,16.84,40.76,23.92,13.92,49.31,2.73
2019,5,2,31.4,19.8,25.6,33.19,13.84,38.94,25.11,14.89,53.12,0.11
2019,5,3,26.15,21.3,23.73,27.07,8.81,30.55,21.74,16.42,76.31,40.03
2019,5,4,28.22,20.76,24.48,28.33,13.38,34.8,21.42,15.81,67.12,21.5
2019,5,5,30.73,18.69,24.71,30.86,15.09,38.33,23.25,14.04,53.5,1.14
2019,5,6,31.17,12.97,22.07,30.74,17.27,39.82,22.55,9.95,39.12,0.09
2019,5,7,31.32,10.12,20.73,30.73,20.38,41.4,21.01,8.18,32.12,0.0
2019,5,8,31.15,13.62,22.38,30.26,20.12,41.55,21.43,10.31,40.44,16.36
